days_to_announcement,avg_annualized_vol
-30,
-29,
-28,44.677762802318526
-27,45.694699105735644
-26,47.28804949143999
-25,48.63932151457678
-24,48.794578929582876
-23,48.093536167156465
-22,47.90769602871783
-21,48.21059102490593
-20,48.01332540469658
-19,48.256844335259814
-18,49.0304819833331
-17,48.63204615545454
-16,47.550955209319135
-15,47.429634207076745
-14,47.786584650417204
-13,47.59811828639342
-12,47.86744810670528
-11,48.73059913577983
-10,48.6559052776313
-9,47.4999522758751
-8,47.475739454345785
-7,47.91141943405139
-6,47.71638251830392
-5,48.26498483847989
-4,49.66958606912502
-3,49.13804539750898
-2,47.8431602365345
-1,48.43878393028021
0,55.98790384449259
1,66.09642572015818
2,67.02999919160327
3,66.86349639314564
4,66.34140676366765
5,65.72232160884013
6,65.51335693502733
7,60.44059348595582
8,51.19047335522431
9,49.15646067371197
10,49.11912543386919
11,49.47361875222822
12,48.04776386703258
13,47.23075990564528
14,47.111297185661336
15,46.865923711788334
16,46.98902100535918
17,47.998911467735226
18,47.897263898147365
19,46.71080186018963
20,46.47316213323077
21,46.80442081844588
22,46.396675771499005
23,46.69288717117391
24,47.711108084987806
25,48.05871877243035
26,46.973875609353534
27,46.676800255485816
28,47.02266432780836
29,46.74994577320247
30,46.95287158199123
