model_type,slope,r_squared,p_value,n_samples,significant,significance
garch,-0.0077314247791712785,0.030021652941824323,0.09311836183364704,95,true,*
gjr,-0.006688168511448775,0.03505885832217762,0.0692268788443004,95,true,*
