model_type,slope,r_squared,p_value,n_samples,significant,direction_correct,hypothesis_supported
garch,-0.0012823109625349337,0.0015611863890964374,0.38624307463740204,483,0,0,0
gjr,-0.0049748774235114515,0.024456743551359537,0.000562067591338821,483,1,0,0
