phase,mean_rtv,median_rtv,std_rtv,count
Pre-Event,3436.932189052697,1.8440185523232535,654237.947020154,36286
Post-Event Rising,8.52777796856833,2.3928881363272185,118.53892122921395,5761
Post-Event Decay,2.8511729033387807,0.7017532102975531,132.69358944889152,30711
