event_id,vix_start,vix_end,vix_pct_change,pre_days_count,cum_return,post_days_count
WPTE_20090504,30.18,39.08,29.48972829688535,19,0.013332447086947363,9
JYNT_20211104,19.66,21.91,11.444557477110886,22,0.03253420654662409,7
RPRX_20240509,21.32,38.57,80.90994371482176,22,-0.018384722282233534,7
NBEV_20210809,21.89,17.07,-22.01918684330745,20,-0.06532717208720262,9
PQG_20180510,14.22,13.91,-2.1800281293952213,22,0.09704685208782116,7
PMFG_20071106,28.3,12.95,-54.240282685512376,21,0.18284975167492235,9
ATMU_20240802,14.44,13.08,-9.41828254847645,21,0.0743824448865733,7
DMIF_20021108,35.08,33.85,-3.506271379703526,22,-0.05625061703200385,7
MYOK_20181107,13.16,12.35,-6.155015197568392,22,0.047794696923924906,8
MACE_20050809,13.1,13.21,0.8396946564885589,21,0.0733589913246051,9
BNFT_20200506,25.81,33.61,30.220844633862846,21,-0.18482151020884663,8
FEI_20040707,16.25,15.39,-5.292307692307689,19,-0.09258010564451669,8
AQB_20220809,24.35,21.29,-12.566735112936353,21,-0.16455728424394944,9
TDUP_20210810,21.89,17.96,-17.953403380539058,21,-0.020906380929527457,9
FROG_20210805,16.42,16.95,3.2277710109622264,22,-0.11283429267863887,7
XEC_20100804,36.57,17.79,-51.353568498769484,21,-0.028496717928775506,8
SNDA_20050203,14.09,11.66,-17.246273953158266,21,-0.10147443766424058,7
BKD_20210805,16.42,16.95,3.2277710109622264,22,-0.08333336696513793,7
LCBM_20050810,13.1,12.93,-1.2977099236641216,22,-0.17465960997679764,8
BYRN_20220707,26.73,24.02,-10.138421249532364,20,-0.045349520015933065,7
LCRY_20040804,15.39,15.79,2.599090318388555,21,-0.09794536066030779,8
TPTX_20211109,18.73,16.06,-14.255205552589437,21,-0.07862022807629443,9
PBYI_20220505,25.42,21.03,-17.269866247049567,21,-0.25609753161236815,7
SUG_20061109,11.52,14.3,24.131944444444457,22,-0.030442271382030817,7
ACAS_20030805,20.06,27.13,35.244267198404785,21,-0.1530453808110911,9
ROIA_20061102,11.85,10.94,-7.679324894514769,22,0.04148145092521305,7
SHAK_20161109,13.38,11.68,-12.705530642750382,22,0.13298611632679203,8
SREV_20170508,9.63,10.57,9.761163032191064,19,-0.010298943837648733,8
PCOP_20040205,16.3,15.64,-4.049079754601228,21,-0.07599227575988832,7
EXPI_20210804,16.42,25.47,55.115712545675976,21,0.41759973683791385,8
FVB_20000710,25.07,19.22,-23.334662943757483,19,0.05647901959494872,9
FLIC_20081105,23.18,23.46,1.2079378774805916,22,0.010043140765668479,8
SDS_20180507,13.16,18.94,43.92097264437691,20,-0.04268537829863406,9
LPTH_20101111,17.61,18.96,7.66609880749575,22,-0.26446240354725903,7
STSI_20040506,16.78,15.77,-6.019070321811689,21,0.12371122842848692,7
HOC_20070508,22.78,15.48,-32.045654082528536,21,0.09201887618873994,9
AREX_20090310,28.9,27.1,-6.228373702422136,20,0.23093137440756073,9
ITOS_20230510,18.58,14.01,-24.59634015069967,22,0.07898626585783952,8
GLP_20101104,28.84,18.06,-37.37864077669904,22,-0.010793761440289318,7
CRUS_20231102,24.8,21.09,-14.959677419354842,22,0.0749193031609463,7
ONVO_20181108,14.16,13.63,-3.74293785310734,22,-0.061946464153245784,7
SVVS_20020403,20.2,24.87,23.11881188118813,21,-0.14102576274596546,8
PDVW_20170207,10.13,9.75,-3.7512339585390007,20,0.12128616697330785,9
BBGI_20030804,20.06,25.53,27.26819541375874,20,0.025190498687850837,9
CENX_20230508,18.58,17.19,-7.481162540365969,20,-0.02894987844218111,9
LICN_20230508,18.58,17.19,-7.481162540365969,20,-0.06666638075333664,9
OFIX_20200806,29.43,27.98,-4.926945293917768,22,0.005716251168647712,7
ETON_20230810,14.81,13.84,-6.549628629304529,22,0.6136349274926507,7
FCTR_20001011,27.2,24.86,-8.602941176470589,22,0.08810720547213524,8
USPH_20100506,35.48,24.91,-29.79143179255918,22,0.03460192501272519,7
SPAN_20061102,11.85,10.94,-7.679324894514769,22,-0.024126015121307964,7
ESLT_20011106,20.55,23.54,14.549878345498776,21,-0.06316900165816453,9
MMC_20100210,21.83,23.19,6.229958772331668,21,0.02704039456732743,7
PKE_20210708,16.15,16.2,0.3095975232198187,21,-0.0046683475391547935,7
MBUU_20181106,13.16,12.65,-3.875379939209725,21,0.10285720369426898,9
SRRK_20211109,18.73,16.06,-14.255205552589437,21,0.04308001516687754,9
HUM_20221102,30.23,18.41,-39.100231558054915,22,-0.04681672700428596,8
TSRA_20070802,15.24,12.0,-21.25984251968504,21,-0.17928814325624176,7
TAYD_20011010,34.83,31.84,-8.584553545793852,18,0.14038380728830901,8
GIII_20220907,21.29,26.09,22.545796148426493,21,-0.1779233927216427,8
EDR_20210602,24.66,25.07,1.6626115166261157,21,0.004385312642405381,8
TGB_20240306,14.68,13.49,-8.106267029972749,21,0.27333509717851556,8
YHOO_20040707,16.25,15.39,-5.292307692307689,19,-0.12131345993398357,8
ADGE_20110809,29.85,48.0,60.80402010050251,21,0.021738184209590727,9
ALCO_20100209,21.83,22.01,0.8245533669262632,20,0.07660778719395012,8
CRIS_20050809,13.1,13.21,0.8396946564885589,21,3.9544309937689093e-7,9
MFSF_20050210,14.85,13.57,-8.619528619528616,21,0.0020457833640994405,7
ALTH_20081105,23.18,23.46,1.2079378774805916,22,-0.041223053877911364,8
MRCY_20090504,30.18,39.08,29.48972829688535,19,-0.013111608702242483,9
NSK_20010802,24.12,29.84,23.714759535655052,21,0.05584603883686867,7
