days_to_event,mean_return,std_return,sharpe_ratio,event_count,valid_returns,median_sharpe,smooth_sharpe
-60,,,,0,0,,
-59,,,,0,0,,
-58,,,,0,0,,0.01614301179605051
-57,2.3351624031007755e-6,0.0003118924389666547,-0.01233875037490985,17200,51600,0.06215909373389135,0.012122900969750541
-56,4.85446104317508e-6,0.0002943723233604387,0.04462477396701087,78587,251741,0.10857323950009913,0.01892014440427268
-55,2.0580503172064125e-6,0.0002933131356152081,0.004082679317150605,208802,717137,0.0686419692328046,0.030688683053836964
-54,4.479364334569686e-6,0.00029673344359421543,0.0393118747078391,221889,855319,0.10208794241366181,0.05138635576469967
-53,5.704501148962689e-6,0.00029503522695777156,0.0777628376520941,231078,903997,0.14636387511207805,0.052598014746921454
-52,6.479309528155253e-6,0.00029303951114862406,0.09114961317940368,230111,865978,0.1575420636302597,0.056296597024839024
-51,4.587461677858764e-6,0.00029242372347039626,0.05068306887811976,216224,760270,0.11452515195028419,0.04252640923605746
-50,4.149030048773419e-6,0.00029196571547676474,0.02257559070673848,207080,655712,0.08922962377188298,0.019344907144435333
-49,1.889465605243031e-6,0.0002921858588637743,-0.02953906423606872,204411,630382,0.04233190809209532,-0.0035255309209014187
-48,1.8174958699787454e-6,0.00029590767665214283,-0.038144672806016536,215011,738245,0.03047722696964215,-0.010407799914366725
-47,2.8680005417166204e-6,0.0002975902187574039,-0.023202577147280082,225210,870298,0.04165377537353464,-0.007697897260479386
-46,4.969081831213198e-6,0.0002959413162628555,0.016271723910793227,233004,914830,0.06559495984735672,-0.002384644162114449
-45,6.068533285198037e-6,0.00029305247369711384,0.036125103976175174,231985,874980,0.09009836589579726,0.0011137138802533426
-44,4.039248351505011e-6,0.0002902848137054317,-0.002972798744244035,222324,779623,0.05342212680695022,-0.007865292848563866
-43,3.639502395082201e-6,0.00028807256782027165,-0.020652882594177576,214676,677985,0.05099066675531322,-0.019259318536150823
-42,1.2215717995217564e-6,0.0002877041376143246,-0.06809761079136613,211747,653636,0.007141028637769599,-0.028077441799670495
-41,1.4590687917174362e-6,0.0002920368624514939,-0.040698404527141546,217485,750441,0.030109820257077837,-0.020159711564331242
-40,1.9780880593496626e-6,0.00029452215069703197,-0.007965512341423198,224837,873874,0.05459265865026769,-0.007558010358299491
-39,4.343527258327672e-6,0.0002930063112164359,0.03661585243245223,231067,910436,0.09020486655270074,0.015555470376168895
-38,4.402935648938271e-6,0.0002899610280105577,0.04235562343598118,229688,866516,0.0933783592673039,0.028410132746489142
-37,4.089657433454978e-6,0.0002873958463452836,0.0474697928809758,220039,769690,0.10918369582173457,0.02351768601751344
-36,2.4968875639738326e-6,0.000284697928090024,0.023574907324459698,212131,668920,0.0838837938218423,0.008912232920224462
-35,-3.2181585783192216e-7,0.0002860692246710969,-0.03242774598630171,209808,647779,0.04000632844729183,-0.0038282187125025353
-34,-7.732635152959659e-7,0.0002912821778401029,-0.036411413053992675,217334,749435,0.037646099544809554,-0.008089447944642284
-33,-1.1619578733157296e-7,0.00029392237114736394,-0.021346634727653805,225716,874640,0.03932335777280485,-0.006088347553204354
-32,2.127491983773971e-6,0.00029212589473343005,0.026163646720277052,232466,911149,0.09356903715869673,0.004108011929529618
-31,2.9571521738177187e-6,0.00028965457219071086,0.03358040928164935,228055,860392,0.09617798233961454,0.011054822630735501
-30,3.032588901462703e-6,0.0002885748452310739,0.018554051427368153,217383,761582,0.07783006449125693,0.01144634674140484
-29,2.3030369745553164e-6,0.0002875411767618212,-0.0016773595479632514,208950,659353,0.066464100353735,0.009898690767036505
-28,6.919313121419448e-7,0.0002882682400370135,-0.019389014174307117,207254,640933,0.054201350140127585,0.015224336786531007
-27,2.6122658784869034e-6,0.0002918977694930341,0.01842536684843538,216871,748717,0.08192883197192173,0.030908822952216485
-26,4.519056578910602e-6,0.0002946473242840153,0.06020863937912185,226651,877151,0.12288793093500876,0.04696399672785878
-25,6.02963848835548e-6,0.000293597649845788,0.09697648225579555,233300,913389,0.18595002746034583,0.06553309158869283
-24,5.392090520747386e-6,0.0002908216682337533,0.07859850933024821,227852,860419,0.15627028012067098,0.0731101479173941
-23,5.440241009161032e-6,0.00029025166521323464,0.07345646012986318,216424,759863,0.14114483611948528,0.06969058604238806
-22,4.467685821065351e-6,0.00028951350049461616,0.056310648491941714,207994,656851,0.12527344206328545,0.061096992879844526
-21,3.2630479065790028e-6,0.0002892171606530275,0.04311083000409165,207762,641533,0.11768983695363058,0.060802908195571326
-20,3.4877601171617697e-6,0.00029285452608078787,0.05400851644307786,218103,751812,0.1217321288728611,0.06402368873024478
-19,4.407214789954699e-6,0.00029535705283122876,0.07712808590888225,228538,884006,0.15702188934735595,0.06721312455621434
-18,4.496587296693515e-6,0.00029417612391160526,0.08956036280323043,235154,921619,0.1716973397875768,0.06747212719581096
-17,4.410802690029617e-6,0.0002909794046759181,0.07225782762178953,230964,872921,0.14487701669044162,0.06546045260116058
-16,3.687602489553611e-6,0.0002881750244526926,0.04440584320207471,221847,778805,0.1057652299486982,0.055723921894285065
-15,3.5714291059748805e-6,0.00028549494652880766,0.043950143469825946,215982,682352,0.10697859230003504,0.04886147870308059
-14,2.263750425330958e-6,0.00028540630171439445,0.02844543237450469,216694,669635,0.08788537196876406,0.05015244665221238
-13,3.667961763221563e-6,0.00029015081515755293,0.05524814684720803,224570,776015,0.12413509468594154,0.0609389965623955
-12,4.101316379181664e-6,0.00029366902517354254,0.07871266736744849,232244,903535,0.16181541483938128,0.06933284537281734
-11,5.257631600318651e-6,0.00029295902465190343,0.09833859275299035,236832,935968,0.17962183201811263,0.07959886288700493
-10,5.526141282103902e-6,0.000290629623121859,0.08591938752193516,233902,887988,0.16841260470521735,0.08015564523638755
-9,6.07622298199169e-6,0.00028776752051655924,0.07977551994544262,225507,792917,0.15681586126354555,0.08094779370968966
-8,6.152777365023181e-6,0.00028472406277132187,0.058032058594121076,219797,694704,0.12713799171859727,0.07889384968243761
-7,7.50499601577891e-6,0.0002856877213271363,0.0826734097339591,219449,678286,0.15196415825396686,0.0836772126819
