days_to_event,avg_rvr,median_rvr,avg_expected_return,avg_variance,event_count
-31,46815.456774349266,-0.19215283806220618,-0.0006132529461072739,0.0006783492992895971,109462
-30,4599.916630925028,0.1092267439305675,-0.0003060882976282338,0.000660288382701159,143512
-29,70.1369248104343,0.13887733600697666,-0.00034573674649233493,0.0006534895155322517,195925
-28,-8017186350276.873,0.2590921555463229,-0.0003173543016567251,0.0006565189353573697,230090
-27,-47803885378085.125,0.3546338342422366,-0.00025931883995754,0.0006560755978146117,211882
-26,-2.924537425424802e28,0.3966544191792528,-0.0002114160917841434,0.0006604522060761541,142034
-25,9539035557018.703,0.14538945681443083,-0.0003060483845233382,0.0006667607028954152,102734
-24,-391514706143803.7,0.05596460123372949,-0.000341300533017393,0.0006648680706554123,118967
-23,-296758288809638.6,0.2974191600155861,-0.0002443709323918859,0.0006536321015882675,144268
-22,-2.108868095054023e28,0.399684464865926,-0.0001639893843663256,0.0006527162222523986,196970
-21,-1.7933072084047445e28,0.3980527776702172,-0.00022047344748710724,0.0006571352989636232,231630
-20,-3.8789190959055792e28,0.3971742528725075,-0.00020814532100828275,0.0006563277718531776,214175
-19,52402483798827.914,0.39680177251854587,-0.00022782527028873488,0.0006599685646957967,143896
-18,-64158955945806.766,0.20116373008549931,-0.0004001092742025294,0.0006658854671426292,104666
-17,-3.412897450355653e28,0.040156175840671486,-0.00040287271107095665,0.00066231324211264,121710
-16,2.8213637941341807e28,0.1942724516139761,-0.0002800817968564375,0.0006489186470165599,147228
-15,4.15037192626943e28,0.2805834732052343,-0.00027803763546109447,0.0006484252376823301,200167
-14,-20412785746918.656,0.3942272496392804,-0.00023075451499170925,0.0006525668327147326,234495
-13,-5.745280064768829e28,0.3699519743182153,-0.00024319180765963017,0.0006517792157809386,216900
-12,-3879533239721.0356,0.39379645832981386,-0.00022928622284739618,0.0006558944636696441,145327
-11,-3.9337444830038e28,0.20941553998425258,-0.00033397143506118805,0.0006635268484297661,105595
-10,-2.038976783762746e29,0.09388000808526768,-0.00032346545000327184,0.000660659323458089,122233
-9,-2.808848480449447e28,0.38230003136289475,-0.00013391119955743003,0.0006469685015418693,147884
-8,10009237598473.283,0.39907879414013314,-0.00004004202569428504,0.0006487515195365238,201169
-7,-3.5227238885709387e28,0.39719596580696065,-0.00008444952056768982,0.0006564275467158852,235831
-6,-16578429074248.027,0.39632799804375096,-0.00006035900211128763,0.0006577742879148463,218447
-5,1.418515004209905e28,0.31846946124677794,-0.00013637102598064663,0.0006644386775767779,146415
-4,2.921452123183949e28,0.2958188909987546,-0.00019152960286439834,0.0006776693186272127,106638
-3,-23223852221098.457,0.3059391549899042,-0.00014334096094080742,0.0006747176906920397,123619
-2,4.182164682275808e28,0.3982803561041063,-0.00002078391460125299,0.000660109398131432,148984
-1,1.538238037575308e28,0.40399884586385165,0.00011731587728607722,0.0006697813291225043,202529
0,1.8843502998663053e29,17.633951287971033,0.010180198504455711,0.0007437477945007959,239176
1,7.755802345309272e28,13.931662825306715,0.010004799108590055,0.0008347833421857199,219587
2,5.501846631650637e29,13.405457555177396,0.009847880005550843,0.0008530156826725204,146468
3,7.532805552960472e29,13.256274143116615,0.009549808707880808,0.0008517171340557588,106978
4,1.0662192706299883e29,13.344857595232424,0.009546091161951344,0.0008468324041455458,125057
5,1.841596005693876e29,13.388102413155401,0.00967124045272507,0.0008455087557142093,149995
6,3.480880841347184e28,13.331366521252663,0.009532470937178605,0.0008421444698475401,202866
7,1.9283726890447593e28,14.575948945038446,0.009355322330294215,0.0007941193044594029,236947
8,5.959567528789019e28,17.68480134944257,0.00949054674575747,0.0007171394348664652,219556
9,1.884398401465693e29,19.31420851561228,0.009607919090681693,0.0006886622915910371,146588
10,1.0216629052369736e31,19.897056219281026,0.009567665512187315,0.0006806950117153005,106279
11,-3.3288488711025235e28,-5.551115123125784e-16,-0.00040855946153085847,0.000685890356160251,124783
12,-2.781780092033955e28,0.22068842094934737,-0.0002620581882131901,0.0006701911915600645,149323
13,-4.645819441656034e28,0.31220505912022123,-0.0002351104892382788,0.0006582646286110082,201173
14,-25494899091919.1,0.14571709085646128,-0.0003060101186804646,0.0006547462081691697,233385
15,1.908476598803528e28,0.18685777254372565,-0.0002852927559164768,0.000651727817475111,217652
16,-47257548234313.22,0.3124370968554438,-0.00022366199869414496,0.000651131124845308,144950
17,10469373081542.781,0.25831415617684483,-0.00020707118377097416,0.000658049547605217,105028
18,3.398155636404279e28,0.1767608951456582,-0.00027086882566371227,0.0006576029741148375,122238
19,-3.5263933676997793e28,0.046022289549259056,-0.0003245932239928815,0.0006448763402294132,147241
20,-5.229583790964421e27,0.28128629265501226,-0.00022336740998236357,0.0006417592609392356,198574
21,9.032869900769054e27,0.39800002913129173,-0.00012002703151993737,0.0006457099744977577,229929
22,-917335572597.589,0.40101926407962385,-5.5914587500520165e-6,0.0006413953795844167,216414
23,6924487644760.639,0.4047994155001679,0.000041066607969873436,0.0006435431793713268,144775
24,-4.966803958805076e28,0.3995573539050278,-0.00008728625570514196,0.0006510155593107762,104540
25,-8.734843773557785e27,0.33469412624565603,-0.00012710424762961707,0.0006537903560504121,118887
26,2.873713203290207e28,0.3972898277106885,-0.00012204192480145745,0.0006433660525204432,144546
27,4.230687933133228e28,0.4008539565539696,-0.000021509918226955127,0.0006410421097158449,196367
28,-3.619665369869388e28,0.4011476851864238,-0.000017098532142323084,0.0006439444613689195,229515
29,-1.9292088665467774e28,0.4023322045361526,0.00002769409773324864,0.0006393658237911473,215313
30,7.224768824142607e27,0.4021257104158199,0.000010815432450790363,0.0006415741028784186,143736
