phase,start_day,end_day,avg_rvr,median_rvr,avg_expected_return,avg_variance,event_count
pre_event,-30,-1,-1.0372312898597766e28,0.37387694151870077,-0.00020754407253666064,0.0006577578102697665,5005920
post_event_rising,0,10,7.382886490096876e29,15.189242273937833,0.009686624542359626,0.0007895403426969848,1899497
late_post_event,11,30,-5.516597717286816e27,0.396588270088895,-0.0001522004302955865,0.0006498088992651017,3388369
