days_to_announcement,avg_annualized_vol
-60,
-59,
-58,50.05368215734746
-57,46.766299002665576
-56,46.51754027956165
-55,47.0433166425906
-54,47.929424445567186
-53,49.58143026857695
-52,49.95605263351877
-51,48.287842105020104
-50,48.073271825074414
-49,48.56788980804829
-48,48.15735806193789
-47,48.25089153298468
-46,49.51193139184226
-45,49.44335869437308
-44,48.1007473568557
-43,47.80150255478502
-42,48.07666329747422
-41,47.78179674173183
-40,48.16692760178116
-39,49.20802145513828
-38,48.80510577453311
-37,47.67970676224373
-36,47.66010553290052
-35,48.02590960084749
-34,47.915326121504556
-33,48.17163451831757
-32,48.90038687882984
-31,48.66299421279949
-30,47.7526069507356
-29,47.65002396712201
-28,47.952517672797434
-27,47.87816118452534
-26,48.25185750437674
-25,49.23034849848243
-24,48.96766132088501
-23,48.101528486427014
-22,47.90747357502497
-21,48.21016704198633
-20,48.01236008007705
-19,48.25663502619309
-18,49.03072747674673
-17,48.63204615566869
-16,47.55189774690485
-15,47.429957597866064
-14,47.78644453778305
-13,47.59806200804412
-12,47.86744810680985
-11,48.73059913591229
-10,48.656113237456005
-9,47.500137665630334
-8,47.475769438528175
-7,47.91141217213731
-6,47.7163825183835
-5,48.26498483863053
-4,49.66958606930719
-3,49.13804539754157
-2,47.84316023670872
-1,48.43878393045124
0,55.98790384457564
1,66.0961782695711
2,67.03000013433176
3,66.86339111392896
4,66.34140676386463
5,65.72232072025339
6,65.51335693515631
7,60.441409735891106
8,51.19161728838304
9,49.15659399087568
10,49.119342171880255
11,49.473618752317684
12,48.047763867117766
13,47.23080675712246
14,47.11148383568917
15,46.86609496816045
16,46.98903493155023
17,47.998911467879175
18,47.89726389825953
19,46.71082300583056
20,46.47334441725907
21,46.80460049156256
22,46.39667577151641
23,46.6928871711627
24,47.711108085042774
25,48.05871877252708
26,46.9738756093945
27,46.67680025560601
28,47.02266432797105
29,46.749945773295885
30,46.952871582107555
31,48.26956215729963
32,48.606128125262785
33,47.21356762451424
34,47.054903935515725
35,47.2927899009654
36,47.12798884791203
37,47.529016802508785
38,48.583915641780926
39,48.82114903474231
40,47.49389895135406
41,47.119799655976266
42,47.432002193311426
43,47.351367325221
44,47.69825266175021
45,48.61578239791653
46,48.42613387368417
47,47.09349732742445
48,47.08730174686816
49,47.59783654161821
50,47.68896743680212
51,48.150859833282986
52,49.21457174764613
53,48.55198375228756
54,47.368922705714745
55,47.32881349568875
56,47.91713230690042
57,47.90489620304371
58,48.22907033901727
59,49.053650296333
60,48.99531412766841
