event_id,vix_start,vix_end,vix_pct_change,avg_vix_volatility,pre_days_count,pre_event_return,pre_days_count_right
NVS_20091019,,,,5.465901114485675,20,0.059935677303363244,20
AZN_20171031,10.85,,,1.3021975126339236,21,-0.0032469368810869037,21
WYE_20030604,21.13,31.37,48.46190250828207,4.065823029788296,21,-0.004209986252338038,21
ATHN_20090814,,,,4.3561512428082265,22,0.14156311897011897,22
FOLD_20230928,,,,2.281969982262675,21,0.004677722771016635,21
EPZM_20200618,,,,8.716678629310023,21,0.04106660651986549,21
PTCT_20170209,,10.28,,0.7058522969817064,21,-0.0734772166638894,21
MYL_20090313,29.78,22.46,-24.58025520483546,5.155508240364548,21,0.1408453069281539,21
NVS_20040227,,,,1.390679799850374,21,-0.04710287696190529,21
NVS_20110701,17.4,,,4.826894395826186,22,-0.05285438715534507,22
INCY_20210921,,,,2.7572211077515263,20,0.013483463453602962,20
JNJ_20000303,23.12,22.01,-4.801038062283734,1.5404685050704365,21,-0.128030505799274,21
STE_20230822,,,,1.0988064983275996,21,-0.04019889358904194,21
RMTI_20200327,,,,10.412476877171763,22,-0.2122192784119734,22
BMRN_20050531,,,,0.9674086972156073,20,0.1247875701538681,20
NVS_20091125,,,,3.566253526979369,22,0.06571546573530251,22
VRTX_20180212,,,,3.920432945224541,19,-0.03146939117800962,19
EXEL_20190523,,,,3.498598938910961,22,-0.004854926304811769,22
FOLD_20200526,,,,4.588543277820292,20,-0.010920743350629758,20
CPRX_20181128,,,,3.0654762257202037,21,-0.06727487310813351,21
BAX_20021220,,,,4.203444100586451,21,-0.044686475897619204,21
PFE_20181121,,,,3.0654762257202037,22,-0.014213739802547809,22
XRAY_20031219,,,,2.7666597363569667,21,0.041372558056352204,21
RDHL_20191101,,,,2.1423397680889322,22,-0.050919388252014586,22
LLY_20090522,,,,3.1390204072351833,22,0.0528671208725795,22
MYL_20180816,,,,7.834309600112372,22,0.039011354393018616,22
KG_20070227,,,,3.4357690918056605,20,0.03889672627838414,20
HROW_20230530,22.46,,,2.6080058711881002,20,-0.20293306300429315,20
JNJ_20211220,,,,2.432528951600076,19,0.039640726915651125,19
FENC_20220920,,,,2.187516694229216,20,0.03616495113891105,20
ABBV_20220824,,,,4.61768580086055,22,-0.06364875941558512,22
INCY_20230322,,,,2.8905328275115396,21,-0.06974566556769668,21
AQST_20191122,,,,2.2147638654890622,22,0.9314647672298042,22
BMY_20021021,,,,5.751778308939091,20,-0.0037409381278703524,20
EPZM_20200123,,,,0.7461595988350666,19,0.239553201916902,19
AAPL_20101008,22.14,,,2.015486570084456,22,0.12183369458457016,22
AZN_20211217,,,,2.432528951600076,21,-0.009372077577033067,21
TEVA_20061219,,,,3.253175572626332,20,0.017638892856547184,20
BAX_20191213,,13.94,,1.5803925354389483,21,0.045354890446113405,21
JNJ_20011120,,,,1.8739191828284898,21,0.02841496308846314,21
GSK_20080613,,,,12.610764640139298,21,-0.04783581194936648,21
CEPH_20000925,,,,4.928205091440485,19,-0.00933758306880994,19
XELA_20220720,,,,2.229539134539281,20,-0.06294296310032765,20
EGRX_20180515,,,,8.192808406900056,21,0.23106240887628027,21
MRK_20001208,18.55,20.03,7.978436657681942,3.6152782348276453,21,0.05218097666359656,21
ABBV_20241016,,,,4.71640223051427,11,0.0168377888536293,11
MRK_20171219,,,,1.8413907409858337,20,0.02720535315586381,20
GILD_20190828,,,,2.572472184016134,22,-0.05394546561565783,22
ACAD_20180628,,,,4.6129180139208,22,-0.10288196404964789,22
AVEO_20210310,19.46,16.41,-15.673175745118195,4.500713993871335,21,-0.11354790512839497,21
PFE_20230525,,,,2.6080058711881002,22,-0.021512378148609734,22
PFE_20190503,14.63,15.57,6.425153793574842,2.3555800543595358,21,-0.0442775449015026,21
INSM_20180928,,,,3.617175239115566,21,-0.00974469321370719,21
GILD_20030702,33.35,25.13,-24.647676161919048,3.1244638002930967,22,0.05242785631772806,22
PFE_20021017,,,,5.751778308939091,22,0.05662166616446673,22
VERO_20191220,,,,1.4063208857735854,21,0.4294479002350211,21
ARGX_20230620,,,,1.7448596782768022,19,-0.05357629966240762,19
BMY_20030620,,,,3.1244638002930967,21,0.20984846606654894,21
TAK_20210915,,,,2.504563091338931,21,7.141078313122051e-7,21
PHAT_20240717,,,,4.9448175906185385,20,0.07665287848350344,20
LLY_20180927,,,,3.617175239115566,21,0.011416846486829835,21
JNJ_20071116,,,,2.8086777401637057,22,0.027815429845367223,22
JNJ_20200501,,,,6.415606513919562,21,0.14420901557375942,21
NVS_20200506,25.81,33.61,30.220844633862846,5.721938574177561,21,0.013271705226353125,21
REGN_20111118,,,,5.002777220978117,22,-0.15473548516558133,22
SPRY_20240809,22.64,23.79,5.07950530035335,3.6945059192133094,22,0.013318831332853165,22
SLXP_20070810,26.49,,,3.462395751667717,22,-0.016208908164649483,22
PFE_20060329,,,,1.1236781360959047,22,-0.03868133613508462,22
ACTG_20200226,,,,9.664110131846188,21,-0.06870253294836415,21
AZN_20190502,15.73,,,2.4922111593049077,21,-0.09498641592606871,21
AZN_20171020,,,,1.3021975126339236,22,0.06244449122865614,22
SIGA_20220518,,,,4.984204891823136,22,0.1228355589029364,22
LLY_20161019,,,,1.903268133520067,22,-0.0003787075887128344,22
BMY_20220318,,,,5.229251325465481,21,0.040577406855383025,21
HRTX_20220916,,,,2.19980339918778,21,-0.09310956641712809,21
GENZ_20081215,,54.28,,7.536995195648391,19,-0.05684185695612598,19
AZN_20000808,,,,1.968764796111108,21,-0.038306946486809657,21
