days_to_event,mean_rtv,median_rtv,std_rtv,event_count,mean_rtv_interp,mean_rtv_smooth
-54,-6.422740275851261,-0.45322522548978694,100.78058456257095,409,-6.422740275851261,30218.18903630347
-53,5.767528724920698,1.9429952072611845,77.84701009833853,529,5.767528724920698,-13.529269505989111
-52,5.356323798592939,1.690727878453469,79.45179896130945,579,5.356323798592939,1.4579327359014747
-51,-2.36655669722626,1.0403924255079677,88.39074843339642,618,-2.36655669722626,2.2878169095505667
-50,4.9551081290756995,1.954292098869066,106.61321385734014,765,4.9551081290756995,1.2048243935320193
-49,-2.2733194076057996,2.168636522454313,125.98278709092457,866,-2.2733194076057996,0.896247844371284
-48,0.35256614482796056,0.9184707962432292,82.13147841141267,580,0.35256614482796056,2.3142308756208
-47,3.813441052789262,2.5170671271740463,119.55300303498805,412,3.813441052789262,1.0651431027283242
-46,4.723358459021321,2.46527928127493,119.57635611873175,532,4.723358459021321,2.399405561975209
-45,-1.2903307353866793,3.9622040365936826,99.65963694575447,573,-1.2903307353866793,1.9851131436320846
-44,4.397992888628624,0.29072635563842003,297.4583760022027,618,4.397992888628624,1.2103447815842103
-43,-1.7188959468876628,1.3017566544813113,178.281553150323,765,-1.7188959468876628,-0.4767698189277496
-42,-0.06040075745010879,1.6253160233801989,119.18843429422795,865,-0.06040075745010879,-1.2298839091097529
-41,-3.7122145435384786,1.759438917010683,167.49197546494244,579,-3.7122145435384786,-2.5077113895449394
-40,-5.055901186296696,3.602593044087685,194.29021723170345,412,-5.055901186296696,-2.612266806494046
-39,-1.9911445135473076,0.6098115674319936,145.175150707752,543,-1.9911445135473076,-3.654664243125656
-38,-2.2416730316331974,1.9432070663937902,137.15660779622263,570,-2.2416730316331974,-2.0513549298319527
-37,-5.272387940608155,1.8999858027949799,149.6353204612073,615,-5.272387940608155,1.908012831139868
-36,4.304332022930034,2.4084169134147393,237.64362844466652,768,4.304332022930034,10.581098735110512
-35,14.740937618562409,3.03066098563188,241.54548593668562,875,14.740937618562409,17.005662663592148
-34,41.37428500630591,2.8496007243998065,553.8075452001817,579,41.37428500630591,20.38910242694325
-33,29.88114661077498,3.7182937786285795,256.999361748978,413,29.88114661077498,21.06387226597611
-32,11.64481087614736,3.3189810960197605,125.84262920167754,524,11.64481087614736,19.124034082603956
-31,7.67818121809432,1.8017327805618188,79.15148826652215,567,7.67818121809432,12.699994587928021
-30,5.041746701701644,2.4987353862612425,87.29112237327058,622,5.041746701701644,8.084758010898694
-29,9.25408753292624,2.2956964601350554,83.36442966095466,760,9.25408753292624,8.036123120079935
-28,6.804963725628348,1.7788507436026617,96.6540247720685,866,6.804963725628348,6.42351047638077
-27,11.40163642205356,1.5247552726573126,121.2406998878034,570,11.40163642205356,6.167479788845528
-26,-0.38488200040150694,2.5157490346044167,201.00896286040825,406,-0.38488200040150694,11.762213364262706
-25,3.761593264025437,1.7907082866147528,201.32075196467198,516,3.761593264025437,14.675959916078265
-24,37.227755410012136,0.9501863694814797,852.8084425036941,561,37.227755410012136,12.073225742783945
-23,21.373696484706137,1.906422444299586,439.6213683894362,620,21.373696484706137,12.675514171600486
-22,-1.612034444418031,2.3207196159524823,128.33179696797615,755,-1.612034444418031,13.781840532533062
-21,2.6265601436811887,1.9991285235230971,118.4875382609913,865,2.6265601436811887,7.813351562207416
-20,9.293225068688319,3.855361201787782,115.82523663257042,573,9.293225068688319,4.233840419597745
-19,7.385310558383907,0.8919322652554212,108.12822093385441,411,7.385310558383907,6.823603334206972
-18,3.4761407716577826,1.7861171777430043,76.41313393755166,532,3.4761407716577826,7.185694257884026
-17,11.336780128628106,2.854244079304266,137.1315579352279,573,11.336780128628106,7.072046736237486
-16,4.437014762066462,3.39607452506085,79.33552873222338,624,4.437014762066462,6.158457019808002
-15,8.724987460455614,1.7309622775863556,110.18136356089595,765,8.724987460455614,5.893934541757284
-14,2.817361976236486,1.044943811798219,87.2775590563924,869,2.817361976236486,4.615595798411261
-13,2.1535283814041937,-0.42509517273887,83.95426656418832,578,2.1535283814041937,4.489350646095231
-12,4.945086411897993,1.540943099040399,118.88169413358409,406,4.945086411897993,2.2814802820616835
-11,3.805789000486311,1.0345133005883618,114.83228273644849,533,3.805789000486311,1.2599013438551485
-10,-2.3143643597121244,-0.434471059738621,141.58283970942733,571,-2.3143643597121244,0.7516696543107854
