model_type,slope,r_squared,p_value,n_samples,significant,significance
garch,-0.013842618623575864,0.03256173210341065,0.07851953214053961,96,true,*
gjr,-0.011303682579120641,0.021657500988070323,0.15247885290976232,96,false,""
