model_type,slope,r_squared,p_value,n_samples,significant,direction_correct,hypothesis_supported
garch,0.0076054712586901526,0.04123041903666613,7.170927650632092e-6,481,1,1,1
gjr,0.003437306460247153,0.007407581395103247,0.05926890530257958,481,1,1,1
