days_to_event,mean_return,std_return,sharpe_ratio,event_count,valid_returns,median_sharpe,smooth_sharpe
-60,,,,0,0,,
-59,,,,0,0,,
-58,,,,0,0,,0.5123737591283954
-57,0.0012832144607843137,0.01734465942201367,0.6104578696406768,272,816,1.8288030867182208,0.39948580823781055
-56,0.0006158287845705969,0.017856544525357322,0.414289648616114,458,1638,1.369312507978063,0.3295002821096565
-55,-0.0002456022581934451,0.017754737451330372,0.17370990645664083,834,3214,0.45309969328096533,0.273665803549822
-54,0.0002668907793209877,0.017623687639075184,0.11954370372519417,864,3329,0.40169543404229924,0.17891941445985618
-53,0.000013869849537037145,0.017566949002966747,0.050327889310484236,864,3167,0.07728570439974292,0.12193488951652917
-52,-0.0001928323238321459,0.01775725403964746,0.13672592419084764,842,3028,0.07775549119193514,0.1213198203784556
-51,-0.00022622095410628043,0.017779933904476592,0.129367023899479,828,2820,0.24062868847942373,0.12953910805894928
-50,0.00013172377116893832,0.017570970690205696,0.17063456076627287,807,2528,0.45989742188604915,0.16845836459628688
-49,0.00021732871485943773,0.01799521665924484,0.16064014212766262,830,2759,0.713007958409243,0.1875350384618558
-48,0.0003215517743221691,0.018342435762389347,0.24492417199717215,836,3228,0.7738331067969936,0.22088996641185762
-47,0.000491547974537037,0.018474763276980184,0.23210929351869225,864,3337,0.579607207927137,0.2445366246245165
-46,0.0005774825590398763,0.017827826928026463,0.2961416636494882,861,3166,0.7121473452366835,0.27199187793175844
-45,0.0006048476670620798,0.01787792840738191,0.2888678518295673,843,3043,0.872114898087347,0.2904034424926299
-44,0.00035228649355877615,0.01729257883471933,0.2979164086638724,828,2822,1.2063820656590454,0.277301349912284
-43,0.00042079522043675306,0.017124004463209476,0.33698199480152913,809,2534,1.0332208554478608,0.2659142531859643
-42,0.0003984934738955823,0.01729928156225235,0.16659883061696298,830,2763,0.1698123066562538,0.24457421429116316
-41,0.0006049988581730769,0.017342046489728542,0.23920618001788957,832,3220,0.6860759572676409,0.22321628361456583
-40,0.0005806234918793502,0.01772412709130473,0.18216765735556154,862,3330,0.47716829707772335,0.18583066647100718
-39,0.0003897464769647697,0.01762076932620884,0.19112675528088596,861,3167,0.6324121063578608,0.22081876467463032
-38,0.0005705124756335285,0.01743532816760195,0.15005390908373586,855,3078,0.09833588622493936,0.24200078718685764
-37,0.0006930209036144579,0.017371517279430152,0.3415393216350787,830,2829,0.8870401829784363,0.27959654652285204
-36,0.0003930222832722832,0.017343396503406043,0.34511629257902615,819,2560,0.6162569027257171,0.338134659296027
-35,0.0007412568108974359,0.01714655986964001,0.3701464540355334,832,2773,0.8321896134950907,0.4108675863828893
-34,0.0011793144602048858,0.017217066003775178,0.4838173191467607,846,3264,0.9245378971338654,0.41374244827705675
-33,0.00116779400921659,0.0177323795134102,0.5137185445180473,868,3341,0.9939989700843455,0.4240926608390857
-32,0.0004839382794457274,0.017666893998838785,0.3559136311059163,866,3180,0.7876093566612227,0.42601797828849053
-31,0.0007784242224880385,0.017774174922100205,0.3968673553891705,836,3029,0.8361373040741438,0.3623465071346306
-30,0.0007865031619747043,0.017696559971676563,0.3797730412825578,817,2792,0.9615346676402852,0.28817913428189657
-29,0.000379490257048093,0.017920895017339764,0.16545996337746102,804,2518,0.3141597470768538,0.25651560976979293
-28,0.00044268083131557723,0.017723340691302013,0.14288168025437714,826,2741,0.25600890563338907,0.21103355609881946
-27,0.0005461246041171813,0.017792797674977056,0.19759600854539808,842,3229,0.17411999305001818,0.18370420401745044
-26,0.0004363518283294841,0.017192848407590777,0.1694570870343032,866,3327,0.34049626527721827,0.18135925110403256
-25,0.00027441239414934546,0.017151957507171925,0.24312628087571278,866,3165,0.38422045508503644,0.18810893392480413
-24,0.00011248097560975616,0.017139850161636633,0.15373519881037145,820,2964,0.6446984293931695,0.20069445673072323
-23,0.0002556476190476191,0.016941954436959682,0.17663009435823507,791,2709,0.21972513566010377,0.21872133169777533
-22,0.0005280862253641816,0.01692160386598028,0.26052362257499356,778,2435,0.5584499429012951,0.2309981552615746
-21,0.0005346088402270882,0.01678430605760771,0.2595914618695638,822,2712,1.1080247461023385,0.2791715183633082
-20,0.0003775294962613143,0.01713418746992698,0.30451039869470925,847,3222,0.5802771946610885,0.3043323431844495
-19,0.0005522116225546606,0.017190253541938625,0.3946020143190395,869,3323,0.9042969937520138,0.321103558106796
-18,0.00023360502552021987,0.017366233051287264,0.3024342184639416,849,3129,0.8294967625292542,0.32479961367693305
-17,0.00028470208835341363,0.01743442168585299,0.3443796971867261,830,2999,0.9316634422263275,0.3012859893822231
-16,0.00012414097896440128,0.01748321933423924,0.278071739720249,824,2805,0.8380517369629485,0.25725905585454056
-15,0.00027053447572419426,0.017670369856500306,0.1869422772211593,817,2552,0.47304779141770065,0.22053918841831988
-14,-0.00004233573141486818,0.01762253293477992,0.17446734668062674,834,2779,0.5700921224419886,0.165824930652196
-13,0.00012953367103694875,0.017818292277301154,0.11883488128283823,839,3248,0.17422810608035905,0.11660186160052477
-12,-0.00011947488372093035,0.018066871716257964,0.07080840835610674,860,3338,0.02728166302984511,0.12207417152446523
-11,-0.00010868987611304694,0.01773371111245855,0.031956394461892884,861,3173,0.09640432565133734,0.11892359173043639
-10,0.00018616579984239562,0.018204539551123673,0.21430382684086158,846,3053,0.49688993925980696,0.12464004980737664
-9,0.00019086682769726225,0.01807485253667171,0.15871444771048251,828,2825,0.48006476234465045,0.15572232468396005
-8,0.00047965633946830255,0.017956518995100885,0.14741717166753948,815,2553,0.4736385824168778,0.18448133218405757
-7,0.0006336031287605295,0.018079187935849773,0.22621978273902388,831,2766,0.6288803609876156,0.16983252373715702
-6,0.0004971794705882354,0.01873664577161618,0.17575143196238044,850,3270,0.3439346839340418,0.1776792615643073
-5,0.0004785233601841198,0.018461925674274918,0.14105978460635873,869,3353,0.3560443410568921,0.19300829298997585
-4,0.00021308533487297924,0.01822232826674119,0.1979481368462339,866,3182,0.5767906725616779,0.18645014760013812
-3,0.00032277754574383446,0.018205143241822215,0.22406232879588234,838,3029,0.536965044809044,0.2573446230276227
