days_to_event,mean_pct_change,std_pct_change,median_pct_change,count,q5_pct_change,q10_pct_change,q25_pct_change,q50_pct_change,q75_pct_change,q90_pct_change,q95_pct_change
-60,-1.1095579661641346,21.023474390381903,-1.8891483237120865,512,-28.235294117647058,-18.333333333333336,-10.192147034252297,-1.8843572534847808,6.791510611735352,17.974238875878214,26.68495297805642
-59,-0.8059975455376176,21.314756398950653,-1.4800736364823597,552,-29.881472239550845,-18.1592039800995,-9.940245060283425,-1.4723926380368235,6.912770809578128,19.24812030075187,26.442307692307708
-58,-0.8497678461108463,20.46492064983604,-2.153184250893625,606,-31.591639871382636,-19.51710261569417,-9.706682794073185,-2.134876296887467,6.439199589533118,16.907514450867044,25.619834710743806
-57,-0.8821310940596675,21.395729119375783,-2.2085127121041492,736,-28.263988522238158,-19.138755980861244,-9.816023116594753,-2.179034157832749,6.520376175548592,17.373737373737374,24.180327868852448
-56,-1.279501054849473,21.85828355246433,-1.7636684303350858,849,-28.179358330112102,-20.16460905349795,-9.649122807017552,-1.7636684303350858,6.753904601097505,17.75643012085528,24.210085792006698
-55,-1.3539556275323712,18.69893299168412,-2.0581523710027696,572,-28.698224852071007,-18.94630192502532,-9.488686085760712,-2.043551088777229,7.438016528925617,16.666666666666675,21.95121951219512
-54,-1.1334540862934794,18.81362930788786,-1.8221398048859139,401,-27.17341829767865,-19.30452569675275,-9.491903964265768,-1.8221398048859139,6.682027649769595,15.509315267360279,22.792607802874755
-53,-0.6181637243218953,17.838817322873126,-1.8752823641010608,516,-26.324011873144837,-16.39132308576353,-8.663785002819013,-1.8744585335118469,6.195756991321111,16.361946079950407,25.923016496465046
-52,-0.7660192276783059,21.21660494100221,-1.720057108369788,562,-29.078014184397162,-18.646811265781803,-8.990854131142466,-1.7199017199017286,6.490984743411943,17.299843014128726,24.238026124818603
-51,-1.0120356074300052,19.552081574041658,-1.8413106195799,602,-29.999999999999993,-19.47890818858561,-9.481396351098981,-1.8232044198894903,6.113225499524266,16.003700277520828,24.29378531073447
-50,-0.9851287763744723,19.109162633802008,-1.886107410457749,748,-28.952205882352942,-18.241758241758244,-9.129511677282377,-1.876147405185169,6.333739342265532,16.294896030245766,25.189681335356596
-49,-0.7605827663317271,18.69497306804069,-1.7139796464917034,847,-25.0,-17.988668555240782,-8.27289211242067,-1.7139796464917034,6.0901001112346975,15.642458100558665,23.516201475777976
-48,-1.3787299964084405,17.798712132634694,-2.1809193325468157,572,-25.0,-18.696883852691215,-8.637747336377466,-2.1190716448032387,6.532438478747227,15.63231850117095,20.567375886524818
-47,-0.8072819481926485,18.541445460611552,-1.8787079762689562,405,-24.795771263815467,-18.158640226628886,-8.692449355432775,-1.8787079762689562,6.140724946695109,15.70716855798504,21.315583398590434
-46,-0.258329258107312,19.367508757864822,-1.032963694364264,519,-22.941176470588232,-16.30648330058939,-7.277274892806096,-1.032963694364264,6.011941527692,14.99845057328788,23.974082073434122
-45,-0.713181332821471,19.521029099830553,-1.53195071340953,560,-26.893523600439075,-17.189314750290364,-7.106506724827344,-1.5186615186615238,5.673758865248235,15.94711279007015,24.16953035509737
-44,-1.3800625954133887,18.62979912856879,-1.6780902859844127,605,-29.60329341317366,-19.840000000000003,-8.395641956846822,-1.6780902859844127,4.923882017126546,15.267947421638016,23.571428571428577
-43,-1.467488408343413,19.41526688511778,-1.7324701376857932,749,-27.913851351351347,-16.666666666666664,-8.312655086848642,-1.7324701376857932,5.099099099099091,14.457405443619663,22.69076305220883
-42,-1.0559951582173046,17.33714248796875,-1.6460905349794275,849,-25.92592592592593,-16.073646525900486,-7.809887747790767,-1.6460905349794275,5.0276641808996825,15.35906358747232,23.215547703180196
-41,-1.5617075677736665,16.780961076744436,-1.987303830667153,572,-24.990740740740748,-16.113516113516102,-7.272235739389032,-1.9269531564943931,5.247524752475252,14.840798704803015,20.698924731182778
-40,-0.6291462287236377,17.52111449312877,-1.366405065294679,406,-25.420470927438732,-15.441176470588236,-7.111892208553005,-1.3635829317033,5.391523452642466,15.398126463700246,22.77831247994868
-39,0.251923989415064,16.873719619294967,-1.4714719266589071,532,-22.028201943449986,-14.107433532284318,-6.294642857142863,-1.456990753712517,5.3824362606232246,15.875613747954166,25.383828045035827
-38,-0.2735681848304429,16.696348567891174,-1.0458404074702887,561,-23.47910592808553,-14.557670772676367,-6.782448298951083,-1.0458404074702887,5.232100708103848,14.365881032547701,23.286219081272087
-37,-1.3770135215690416,19.248067867204274,-1.401088428902092,602,-27.27272727272727,-15.944350758853288,-7.642357642357645,-1.3568309419837887,5.143338954468812,13.548387096774196,20.959595959595955
-36,-0.9493555768287184,17.03153255496966,-1.290630388330316,754,-24.55673758865249,-15.473145780051144,-7.098618389709377,-1.282559477959322,4.990455413144246,12.805498981670072,20.567375886524818
-35,-0.30841449958684863,16.677958341966114,-0.9934779311390862,859,-21.926229508196716,-14.333814333814331,-6.595822645657757,-0.9934779311390862,5.539070227497533,13.261339092872571,22.235872235872222
-34,-0.9195602590874616,15.676144604831798,-1.261157488976522,572,-21.653878942881512,-14.360841423948212,-6.988311365332011,-1.2435793457691302,5.288101771015219,12.365591397849451,20.563380281690158
-33,-0.3718087235020499,16.137329749948805,-1.2109375000000089,407,-21.476510067114095,-13.066343042071205,-6.447187928669418,-1.2109375000000089,5.1462621885157045,12.314356435643582,21.666666666666657
-32,0.5691694334696061,16.086236135021995,-0.7155278356193173,514,-21.856287425149702,-12.444959443800684,-6.074321105288227,-0.6950632685795766,5.5452865064695045,14.470842332613397,24.33035714285716
-31,-0.2764801783384066,15.555073315527116,-0.9857919016841021,556,-22.815533980582526,-14.010416666666659,-6.14154217594688,-0.9643003693065255,5.059265683723613,12.998056365403299,19.999999999999996
-30,-0.8319756299153546,16.581140959317278,-1.189907594984596,612,-23.076923076923073,-14.75667189952905,-6.644034917555763,-1.1613902271163101,4.889406286379505,12.625250501002006,18.315680702660806
-29,-0.892612208598778,16.8438384316459,-1.1009484441185546,750,-21.741173109243693,-12.808988764044948,-6.288326457799087,-1.1007268951194193,4.51684561273602,12.11288253619205,18.705763397371065
-28,-0.3623987429815959,15.523331234931455,-1.0304653578496192,855,-19.928983577452296,-12.857995226730312,-6.270974002345053,-1.0304653578496192,4.578800910700731,12.295081967213118,20.106171201061727
-27,-1.9279726865108473,18.43582846886983,-1.1180111961628825,566,-21.491228070175428,-12.244274809160306,-5.999019233912706,-1.1035653650254607,4.210526315789465,10.504774897680758,18.604651162790688
-26,-0.5974969230631864,15.041618763741893,-0.9851050436612885,402,-18.632478632478634,-11.170640235735341,-5.753424657534245,-0.9741163373225725,4.2397660818713545,9.949164851125648,19.776785714285715
-25,0.24429925297551722,14.346528300913167,-0.3564427018356797,507,-19.634852957253734,-11.796042617960435,-5.841924398625431,-0.3564427018356797,4.471057884231544,13.1266149870801,20.535714285714302
-24,-0.11264459636180439,14.887211230101107,-0.8715963771637136,554,-19.86062717770034,-12.364760432766609,-5.801282051282042,-0.8571168049603339,4.227941176470584,11.503602138043224,17.517241379310345
-23,-0.4204207314108872,15.204432887870519,-1.1006716610535316,614,-20.051020408163268,-11.38392857142857,-5.963870329126442,-1.0772357723577208,4.260089686098656,11.141652922851385,17.931034482758633
-22,-0.38289597119644614,14.552764389348571,-0.6926619346432128,747,-17.96407185628741,-10.789695945945944,-5.491329479768781,-0.6926619346432128,4.040492189545342,10.311804008908698,17.841726618705025
-21,-0.6897400281006714,15.64139023220687,-0.7643116028597852,856,-18.745874587458744,-11.010120189192296,-4.915333960489187,-0.7631160572337037,4.065431801780117,9.748427672955984,17.24310776942357
-20,-0.9853433801792104,13.757473127326314,-0.7111391719122784,569,-19.011082693947145,-11.834094368340942,-4.9747186429620065,-0.7111391719122784,3.8483630097644994,9.630207330080998,14.229636898920518
-19,-1.596354381394342,17.663616925466112,-0.7859799014372615,408,-19.86062717770034,-12.595209184236678,-4.610909090909098,-0.7741935483870921,3.2502101428971697,8.827940861367045,12.902085542594556
-18,0.5327961147499677,13.747119082770055,-0.5311670051554529,525,-16.806722689075627,-9.393063583815032,-4.196608220753095,-0.5311670051554529,3.8623595505618002,10.50394656952034,18.295739348370944
-17,0.2130342525536121,15.045592768604868,-0.6196999347684362,565,-16.393442622950815,-10.858449946178684,-4.716981132075482,-0.6196999347684362,3.765690376569042,10.286320254506887,17.321867321867312
-16,-0.5729955539471177,13.527022271456438,-0.9317740761844551,616,-16.60008877052819,-11.194762684124393,-4.708012675418738,-0.9314140558848494,3.3072349397590406,9.302052785923753,13.592920353982318
-15,-0.58117528473111,12.76454013565405,-0.5447582271573659,758,-17.132711939636035,-10.39719626168225,-4.243036513205389,-0.5430683360989619,3.383458646616533,8.765652951699465,12.060301507537673
-14,-0.8568103109349829,14.863113109521702,-0.7473616133109873,862,-18.0064308681672,-10.282776349614398,-4.240596167494681,-0.7450980392156858,3.099927060539742,7.884730838503096,12.735727202273317
-13,-1.278211412145018,11.22992176445978,-1.0192945290945221,576,-15.67672833495618,-9.560723514211888,-4.664938911514261,-1.0067114093959662,3.0237580993520696,7.071596244131473,10.559284116331092
-12,-0.8499365552177429,11.597522674700144,-0.7007613521302303,404,-15.504807692307686,-9.829619921363042,-4.1794087665647295,-0.6270270270270273,2.9366306027820865,7.795431976166811,10.81081081081081
-11,-0.13094975217483504,15.605055087119654,-0.7109888324456581,526,-15.61569688768607,-8.363448631905012,-3.7093984239861655,-0.709803518156571,3.202288667404951,7.904683648315514,14.034217703942486
-10,0.1255877822847927,13.014529788057468,-0.454545454545463,565,-13.205329153605017,-9.648179443846983,-4.3365881677196905,-0.454545454545463,3.0434244711122105,8.22450248756219,11.669770328988193
-9,-0.7048108810541535,9.982752641673072,-0.6968641114982632,619,-12.559362899101334,-8.864696734059086,-4.069276260208388,-0.6968641114982632,2.343387470997671,6.796116504854366,9.174311926605494
-8,-0.6378746020979772,7.926958402249742,-0.4451427075150449,757,-11.752786220871315,-8.287292817679571,-3.509371798912786,-0.4451427075150449,2.4590163934426146,5.698427382053661,9.219858156028371
-7,-0.621261423542511,8.779275600177558,-0.4713407962292804,865,-12.19951923076924,-8.70541063849336,-3.4801925212884166,-0.4713407962292804,2.2073412698412787,5.390304026294146,8.154506437768227
-6,-0.8510307750308236,7.638789893296873,-0.6198425460554047,572,-10.273270025324665,-7.839866555462893,-3.0663780663780615,-0.6127258444619033,1.829561868078966,5.2991452991453025,8.40490797546012
-5,-1.383884566844297,12.164617749255402,-0.4249960648512574,405,-10.794780545670225,-7.38675958188153,-2.8931154567372053,-0.4249960648512574,1.8106734434561567,4.85122897800776,6.8783068783068835
-4,-0.4303117615215049,7.415478132023004,-0.3065090510773305,520,-11.198208286674127,-6.451612903225811,-2.525466893039041,-0.30265187000072524,1.8089315997738886,4.955752212389375,7.6167076167076075
-3,-0.8646266193826807,10.511062010091047,-0.36266980688998696,572,-9.315746084089039,-6.129973882316797,-2.609144923792295,-0.35104142288789886,1.4414414414414267,4.327902240325865,7.3593073593073655
-2,-0.3827811840433129,5.38738928919068,-0.42417815482501675,629,-7.78097982708934,-4.9593495934959435,-2.1281412723568094,-0.42417815482501675,1.5286624203821653,4.747832939322305,7.261904761904758
-1,-0.4418782504894476,4.204361542699429,-0.24046406619495642,760,-6.632352941176478,-3.7098103874690924,-1.6413827406117965,-0.23506123963874526,0.9654243376739924,3.000697836706201,4.791208791208801
0,0.0,0.0,0.0,888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.4217766186920495,29.887603164948988,0.22912423625254252,573,-6.6985645933014375,-3.701754385964906,-0.9923068346526898,0.22912423625254252,1.8747506980454576,5.623995715050878,13.874131589701676
2,3.176661719666131,38.04494109284307,0.28793210259722146,396,-9.742441209406493,-5.291688177594233,-1.541850220264307,0.29754525167371426,2.716186252771635,7.669946332737032,18.396711202466598
3,1.4715247932914768,14.986990042165214,0.0,501,-7.967479674796751,-4.332615715823462,-1.7599700430630971,0.0,1.8832891246684191,5.960878330518171,10.046457607433235
4,1.6479788289239206,13.700111660461356,0.11566636679090081,557,-8.161764705882346,-5.060882800608835,-1.8135011441647642,0.11566636679090081,1.9818331957060176,6.71798460461861,14.028507126781697
5,2.2078590599135133,35.56258626392629,0.09667440061873478,605,-9.649122807017541,-5.516871987145155,-2.0771837761014655,0.09667440061873478,2.205005959475548,7.016604177825392,14.457831325301207
6,2.562826107327638,37.11852970282114,0.20632737276480295,745,-10.11049723756905,-5.991855730075635,-2.230742418961318,0.20632737276480295,2.6999999999999913,7.953855494839113,14.913657770800626
7,3.5151307467600166,51.59907544475219,0.15373659656865435,856,-12.43452260515726,-6.666666666666677,-2.640845070422526,0.15721023295698355,2.9502308876347083,8.744394618834072,17.359413202933993
8,4.793589554055902,54.607912469527676,0.3578239486098589,568,-10.768645357686458,-7.148726376335257,-2.595419847328251,0.3658536585365857,3.5264483627204024,9.342281879194637,19.950331125827823
9,6.295480753995047,64.33384930078391,0.8560202823960972,402,-11.780821917808215,-8.160919540229871,-2.481323372465316,0.8565780803865497,4.32926829268292,10.064714000190357,19.867549668874183
10,1.6426348951139562,15.990026727363906,0.554400690574508,520,-14.267100977198698,-7.947019867549676,-2.7956989247312047,0.5558240695988426,3.5175879396984966,8.608546683163599,15.157598875727762
11,1.3334547062286815,17.132856872949304,0.3704014358846264,550,-13.456464379947231,-7.846153846153847,-3.1599552572706857,0.3823799327011379,3.971962616822422,9.773299748110809,18.00324382771672
12,3.4295204435947064,54.05586272658907,0.09201805562313314,605,-17.226890756302517,-9.661705006765898,-3.798717316230882,0.09201805562313314,3.752808988764045,9.300746775288538,17.30310262529833
13,3.1468443068827114,46.37753023130269,0.274145929987335,755,-14.709371293001183,-9.86060918946825,-3.6282858200666457,0.274145929987335,4.075935231714123,10.276287020473053,19.611307420494704
14,3.307710580351558,47.0250134236266,0.6104033970276035,851,-16.71612265084075,-10.456553755522835,-3.7562012756909957,0.6104033970276035,4.222222222222216,11.102775693923483,19.11764705882353
15,5.0196968734697345,60.92461056821901,0.9501640655430466,574,-17.226435536294694,-10.022271714922049,-3.083247687564239,0.9741163373225836,5.148701069707307,12.46943765281172,19.823356231599632
16,6.180870290106968,72.59434729680103,1.140997203116545,402,-17.647058823529406,-9.895833333333325,-2.970795568982876,1.1653088584098192,5.042918454935608,13.884095536413476,20.732722731057464
17,1.1126807115247808,16.05688108158082,0.6033615859790231,525,-16.666666666666675,-10.107284020327501,-3.5797903848976187,0.6033615859790231,4.1011091049780735,11.22718275786234,16.624040920716098
18,1.4799538501482072,15.72599892569728,0.5496518871381584,553,-16.754130223517983,-9.721322099805574,-4.11434678065723,0.5496518871381584,4.609253162363536,11.766127083836665,20.8665083656024
19,2.259571556977863,38.95422646073711,0.5630530639312958,602,-19.43825785696609,-11.368909512761016,-3.958030334510698,0.5744906826301133,4.390351522282687,11.651504548635415,21.39883430474605
20,3.237519657215512,54.37271444616062,0.7465840259191392,755,-19.889502762430933,-11.730048205677567,-4.306487695749439,0.7465840259191392,5.043213014743264,13.469156762874924,21.661600810536985
21,3.1752178079483886,50.91484316592067,0.7974809755307177,856,-20.527097253155148,-11.697722567287784,-4.3105451394731435,0.8118765947576101,5.325301204819288,12.500000000000021,20.486322188449858
22,5.292686410572253,64.52687310291809,1.1240025233488438,568,-18.20276497695853,-10.495882249868583,-3.925389755011144,1.1519716437749183,5.589743589743601,12.653948321661446,24.65753424657533
23,7.148237795036888,77.97348108322086,1.067887109077037,399,-18.53240492769148,-10.985626283367555,-3.793145970621059,1.067887109077037,6.199854121079507,14.730976841372101,24.62446351931331
24,1.3654758234233983,17.715546268917443,0.7733648948122118,510,-19.499999999999996,-11.64556962025316,-4.75568330284818,0.7913247362250964,5.530312865117493,12.491252624212734,18.942255801403117
25,1.4271825259682653,16.806604936335773,0.4137115839243366,559,-19.700214132762305,-11.90602723491152,-4.701561065197435,0.4137115839243366,5.339415079152121,13.727959697732995,22.32491271308279
26,3.9224644783582416,61.866938577556226,0.14517674586774776,606,-24.86992715920916,-13.817097415506963,-5.0383097283491995,0.14591439688715901,5.423059395412433,15.414798206278025,27.385444743935295
27,3.7318577607369217,54.59132084450163,0.5278785879247794,731,-21.042345276872965,-13.888260574530653,-5.3892215568862145,0.5278785879247794,5.798687089715537,15.128449096098961,24.695638152059974
28,3.35328319730079,49.56475464501804,0.5291627469425908,853,-21.413276231263378,-13.838184509126783,-5.106382978723412,0.5291627469425908,6.071277644738693,14.110978520286377,24.889135254988926
29,4.731586072731483,58.967537831623105,0.9705994186117728,572,-21.658986175115203,-12.779914046595787,-5.009107468123863,0.9787928221859588,7.174638487208007,15.337423312883436,25.91201716738196
