event_id,volatility_ratio
BDX_20021007,1.6286477897715963
MRK_20171219,0.2879747133257716
ANIP_20220114,1.0753829608053638
BMY_20200901,1.2180263396745266
EGRX_20180515,0.89795179261747
VRX_20170215,1.5907922250299094
TGTX_20210205,0.8780788136661131
JNJ_20170713,0.7868984868135365
GILD_20160404,0.5756609754375778
TAK_20240418,0.4906466122908045
GSK_20010419,1.223354048341869
NVS_20100826,0.7888689711624648
CALT_20211215,2.12867824286629
MYL_20200519,1.6205695930335224
BIIB_20160527,0.600449149432374
ETON_20200929,0.6629709140046048
INCY_20230322,1.0847458532051952
AAPL_20040820,1.092309378707626
JNJ_20110520,0.6879915106165038
MRTX_20221212,0.49556332196064773
EBS_20080123,0.7422420524846948
SCPH_20221007,1.6502667568721545
NVS_20000816,0.422499442867204
BMY_20191108,0.16647096680961398
ATHA_20210323,0.4857234833862681
INCY_20240814,0.6064411849980191
BAX_20230627,0.6537416729208704
GILD_20100222,0.7139247834525867
AZN_20081205,0.587874449377197
JAZZ_20080228,1.0051216161130687
SNY_20071019,0.9724124349786494
MMT_20060928,0.9950466163823825
AMRX_20211122,0.683033910777004
WYE_20030716,0.7470876316342246
INSM_20180928,0.7990658848966665
ZVRA_20240920,0.26932326594181133
ABBV_20190816,0.7631576596113995
PFE_20181121,0.8511158751128832
JAZZ_20200721,1.1165544984637492
BMY_20200325,1.9284092178558285
PFE_20171213,1.6346677998916095
RDY_20060915,0.6419794825405614
BMY_20110615,0.8025825294904474
IMCL_20040212,9.773454039486742
TEVA_20081020,0.8868386719667529
PFE_20221215,1.9120090241016428
TEVA_20190819,0.2948774747232041
LLY_20200615,5.858574091323292
LNC_20240105,1.7419776421406137
MRK_20090227,1.195065994875918
PFE_20230623,0.25655523712822986
GSK_20170720,0.6563542434136846
MYL_20181109,0.6395236759399298
PFE_20230309,0.634522605380173
CCXI_20211007,20.502235684851822
ARQT_20231215,1.4491372247137546
BAX_20220125,0.5737392277861604
GILD_20060712,0.616362808469585
JNJ_20180214,0.6629109497282089
NVO_20000620,0.5329077658909832
NVO_20050616,0.7283458788236258
XERS_20211230,1.9842026174851293
EPZM_20200618,1.4703284618682173
MRK_20070330,1.1161206317763528
GBT_20211217,1.8923062357371137
NVS_20090428,0.8250130432915078
BTAI_20220405,0.8280528895686704
BDSI_20170323,1.342056841584057
AVEO_20210310,12.002421105139357
NVO_20100125,0.40215715337208413
TVTX_20230217,3.096820164170914
RARE_20171115,1.7098837618165752
EYEN_20230505,1.8026338024595179
NVO_20171205,1.591934022443557
SNY_20170522,0.20289014067366978
JNJ_20041021,1.4617985192032827
LLY_20231108,1.9094579901071917
GENZ_20010507,0.5350590327441986
VIE_20200611,0.8051357825935799
JNJ_20050401,1.087948389538038
VIVO_20021217,0.6959668625182258
PFE_20011116,0.2540911826218612
JNJ_20190412,0.6321520677372313
ALVO_20240223,0.8177640430048372
AXSM_20220818,2.2658995572342504
CHRS_20220802,0.8078708992315788
XELA_20190415,0.6256402550271573
MRNS_20220727,0.30828673798195416
CTXR_20240807,1.5135109655178578
ADCT_20210423,0.8697195828720141
VNDA_20210318,0.48780063414962854
TEVA_20081024,0.39132377426828135
TNXP_20190125,0.1665434519594095
MRK_20111221,0.2605084129220493
AZN_20030620,0.6431958526089411
OGN_20211207,0.8256173690959514
JNJ_20000303,0.4693983729550338
SPPI_20220909,0.6792340588390785
NVS_20010510,2.3965171180827127
ABBV_20180216,0.3644254042197536
PFE_20180720,0.8611681871758692
CBST_20110527,0.6979798368818548
PFE_20060217,0.1854670981106918
ANIP_20240729,0.34574970152070683
EPZM_20200123,1.8849038882798672
TAK_20211123,0.3142111327276119
MRK_20161021,0.6714665074814703
SNY_20050131,0.27725853766416864
MYL_20011207,0.11174199547441258
GSK_20190606,1.387206366788335
FMS_20110418,1.486622945211892
LLY_20040803,1.612949161639756
BPMC_20200109,0.3469531498108508
SERV_20240806,0.32378037222459616
VNDA_20201201,1.7170474154728554
AAPL_20101008,0.6627385466138587
GILD_20160301,0.8481532584321311
MYL_20190911,0.7590417770819764
PFE_20220622,0.4087050428523239
LLY_20090522,0.3818816472175993
MYL_20070511,1.7296117063470693
XRAY_20031219,0.5267740304435081
PFE_20081031,1.0029144244997727
NVO_20200116,2.0308090983344314
AZN_20170817,0.11210621467794751
SNY_20160727,0.23817440315398591
TEVA_20190905,0.5947805058308077
AZN_20180518,0.5691763978843078
AZN_20170227,0.24276746309982064
AZN_20010220,2.9812427408665725
TEVA_20160323,0.5118571872761514
NVO_20171220,0.5695724169287906
UWMC_20231213,0.9970480822750223
HRTX_20160809,0.8484723428099061
LLY_20101123,1.009403418445847
AQST_20220830,1.253034625822723
IMCR_20220125,1.883477826948633
TAK_20230927,0.7149290478189048
SNTS_20060324,0.5793948939648634
BGNE_20191114,0.18110134260868763
XELA_20190416,0.5786011266986595
XELA_20230208,0.9029823115069178
PHAT_20240717,1.5499422331551347
ATHN_20090814,1.4108538208780546
BGNE_20240313,1.211258111330364
SNTS_20041221,1.900405788383366
NVS_20231205,1.3937975439190784
PFE_20200227,1.6441926382024232
EOLS_20190201,1.0277118064388155
AZPN_20001220,1.1800116824108748
GENZ_20030424,1.2577988566838845
JNJ_20001130,1.3116706416745316
NVS_20211029,1.9842040694515743
PFE_20200925,0.7084120397005113
WSM_20240731,1.103444546290135
LLY_20080613,0.8229678822734793
LLY_20170928,0.48961833009091893
RDUS_20170428,0.40901697929465003
TEVA_20060525,0.9052906207974608
NVO_20200828,0.5013120181258807
STML_20181221,0.7926264522408241
