days_to_event,avg_pct_change,count
-60,-1.1095579661641346,512
-59,-0.8059975455376168,552
-58,-0.8497678461108463,606
-57,-0.8821310940596703,736
-56,-1.2795010548494727,849
-55,-1.3539556275323725,572
-54,-1.1334540862934788,401
-53,-0.6181637243218947,516
-52,-0.7660192276783044,562
-51,-1.0120356074300032,602
-50,-0.9851287763744709,748
-49,-0.7605827663317236,847
-48,-1.378729996408438,572
-47,-0.8072819481926484,405
-46,-0.25832925810731305,519
-45,-0.7131813328214716,560
-44,-1.3800625954133865,605
-43,-1.467488408343417,749
-42,-1.055995158217304,849
-41,-1.5617075677736665,572
-40,-0.629146228723638,406
-39,0.2519239894150638,532
-38,-0.27356818483044343,561
-37,-1.3770135215690409,602
-36,-0.9493555768287175,754
-35,-0.30841449958684797,859
-34,-0.9195602590874596,572
-33,-0.37180872350204913,407
-32,0.5691694334696066,514
-31,-0.2764801783384069,556
-30,-0.8319756299153525,612
-29,-0.8926122085987759,750
-28,-0.362398742981596,855
-27,-1.9279726865108475,566
-26,-0.5974969230631877,402
-25,0.24429925297551705,507
-24,-0.11264459636180432,554
-23,-0.42042073141088476,614
-22,-0.3828959711964462,747
-21,-0.6897400281006709,856
-20,-0.985343380179211,569
-19,-1.5963543813943424,408
-18,0.5327961147499677,525
-17,0.21303425255361205,565
-16,-0.5729955539471173,616
-15,-0.58117528473111,758
-14,-0.8568103109349836,862
-13,-1.2782114121450172,576
-12,-0.8499365552177428,404
-11,-0.13094975217483534,526
-10,0.12558778228479264,565
-9,-0.704810881054154,619
-8,-0.6378746020979776,757
-7,-0.6212614235425105,865
-6,-0.8510307750308219,572
-5,-1.383884566844297,405
-4,-0.4303117615215049,520
-3,-0.8646266193826803,572
-2,-0.3827811840433122,629
-1,-0.4418782504894482,760
0,0.0,888
1,2.4217766186920504,573
2,3.1766617196661313,396
3,1.4715247932914761,501
4,1.647978828923921,557
5,2.2078590599135137,605
6,2.5628261073276373,745
7,3.5151307467600152,856
8,4.793589554055901,568
9,6.29548075399505,402
10,1.6426348951139562,520
11,1.3334547062286812,550
12,3.429520443594707,605
13,3.146844306882713,755
14,3.3077105803515594,851
15,5.0196968734697345,574
16,6.180870290106968,402
17,1.1126807115247797,525
18,1.4799538501482068,553
19,2.259571556977864,602
20,3.2375196572155134,755
21,3.1752178079483873,856
22,5.2926864105722515,568
23,7.148237795036885,399
24,1.3654758234233992,510
25,1.4271825259682642,559
26,3.922464478358244,606
27,3.731857760736924,731
28,3.3532831973007906,853
29,4.731586072731483,572
30,6.5031933916049685,398
31,0.34275470809457803,493
32,0.1001211691322354,543
33,2.8976865474250677,603
34,2.833295183236154,735
35,2.7213665792455757,846
36,4.4716888557456995,575
37,5.352457402533632,402
38,-0.49241710417353435,517
39,0.18204319943738487,553
40,2.976186738212133,605
41,2.8921036325742926,735
42,3.0863271300265533,850
43,3.9214883940194882,571
44,5.529167435440807,403
45,1.052939827143671,521
46,0.7159908644732378,547
47,2.6283834049251356,595
48,3.015329851858515,733
49,2.8268922748457492,844
50,4.318137771394552,566
51,6.078609229317662,403
52,1.5422114445124948,525
53,1.5645039949603023,554
54,4.015720366037524,584
55,3.475171257538962,725
56,3.702084121038946,827
57,4.475037706697048,556
58,3.6301408462164098,388
59,1.6269694924935398,516
60,1.4365042355580528,546
