event_id,mean_event_pct,mean_baseline_pct,mean_diff_pct
NVS_20010925,2.781625,0.03592258064516126,2.745702419354839
PFE_20160819,0.18383333333333332,0.08767428571428575,0.09615904761904759
IRWD_20170818,-0.8037333333333334,-0.4006342857142857,-0.4030990476190477
ASND_20210825,5.41754,-0.42145882352941166,5.838998823529411
NVS_20211222,0.2218,-0.14707352941176471,0.3688735294117647
SNY_20040401,0.53625,-0.12111176470588236,0.6573617647058824
RETA_20230228,40.60765,0.9150705882352943,39.692579411764704
AZN_20050428,0.33340000000000003,0.2310470588235294,0.10235294117647062
TEVA_20160929,-2.1757,-0.07070882352941175,-2.104991176470588
GENZ_20060428,0.5803333333333333,-0.23010857142857147,0.8104419047619047
GSK_20230915,0.5165000000000001,0.0739171428571429,0.44258285714285706
PHAT_20240717,-1.0956199999999998,0.0016999999999999437,-1.0973199999999999
VERO_20191220,-7.313533333333335,-2.3760149999999993,-4.937518333333335
BMY_20110325,1.2638333333333334,0.020451428571428596,1.2433819047619046
JNJ_20180214,0.55526,-0.099665625,0.654925625
ATHN_20091203,2.7731,0.40215428571428585,2.370945714285714
KEY_20090501,-1.0057333333333331,0.6251457142857144,-1.6308790476190476
NVS_20230316,0.17900000000000005,-0.21374848484848483,0.39274848484848485
LLY_20031121,-0.6070333333333333,0.2529444444444444,-0.8599777777777777
NVS_20231205,-0.5589500000000001,0.06274285714285711,-0.6216928571428572
ABBV_20170607,0.7108800000000001,0.05529117647058826,0.6555888235294117
CTXR_20240807,-2.6097799999999998,1.4556250000000002,-4.065405
BMY_20021231,1.3823999999999999,-0.09041428571428571,1.4728142857142854
NVS_20040227,-0.7186333333333333,0.18953939393939384,-0.9081727272727272
XERS_20190910,-0.842625,-0.1594583333333333,-0.6831666666666667
TAK_20230927,-0.06625999999999999,0.19118823529411763,-0.25744823529411764
NVS_20071029,0.6549333333333334,0.0311628571428571,0.6237704761904762
GILD_20210610,0.500975,0.05030571428571428,0.45066928571428566
NVS_20240412,-0.8013666666666667,-0.04122058823529412,-0.7601460784313726
NVS_20100921,0.262725,0.27255999999999997,-0.009835000000000009
JAZZ_20200721,1.163225,-0.08035000000000003,1.243575
ABBV_20210928,0.19012500000000002,-0.2678571428571428,0.4579821428571428
LLY_20220513,0.8021666666666667,0.25426,0.5479066666666667
HRTX_20210512,-3.3149400000000004,0.13927647058823525,-3.454216470588235
AMGN_20190409,-0.4231500000000001,0.11581999999999996,-0.5389700000000001
TNXP_20160128,-1.5463,-4.036860000000001,2.4905600000000008
JNJ_20060623,-0.11193333333333336,0.16344857142857142,-0.27538190476190477
BLRX_20230908,-5.080566666666667,-0.6519527777777776,-4.428613888888889
AZN_20071115,0.6208,0.019968571428571356,0.6008314285714287
CALT_20211215,6.10082,-0.6057205882352945,6.706540588235295
MGNX_20201216,2.66974,-0.0031176470588233822,2.672857647058823
PHAT_20231101,0.6058000000000002,-1.2571647058823532,1.8629647058823535
PFE_20200227,-0.896475,-0.1851393939393939,-0.7113356060606061
LLY_20180531,0.626875,0.19612000000000002,0.430755
MRNS_20220318,11.1282,-1.0500970588235297,12.178297058823528
JNJ_20040316,0.13435,0.09013529411764709,0.04421470588235292
NVS_20100826,0.9337,0.0873705882352941,0.8463294117647059
FOLD_20200526,-1.2716333333333334,0.6735285714285713,-1.9451619047619046
HSP_20080507,-0.45817999999999987,-0.01894411764705884,-0.43923588235294103
AZN_20230428,-1.0797,0.30216571428571426,-1.3818657142857145
EPZM_20200618,-0.5809500000000001,-0.018991176470588293,-0.5619588235294117
JNJ_20090925,-0.2515,-0.02977142857142858,-0.2217285714285714
JAZZ_20210630,0.05368000000000005,0.23579117647058828,-0.18211117647058822
JNJ_20010810,0.6442666666666667,0.1171628571428571,0.5271038095238095
LXRX_20230526,1.4581666666666666,0.8630257142857145,0.5951409523809521
TGTX_20210205,3.7113666666666663,1.9835333333333336,1.7278333333333327
PTCT_20170209,-1.3254,0.07418124999999985,-1.39958125
AMGN_20240823,0.03159999999999997,0.11965428571428573,-0.08805428571428575
STE_20230822,0.07987500000000002,0.2105914285714286,-0.13071642857142857
MYL_20190911,1.1463999999999999,0.10185428571428572,1.0445457142857142
JNJ_20200501,-0.6863666666666667,0.4374542857142858,-1.1238209523809526
NOVN_20060406,-0.12730000000000005,0.4670264705882353,-0.5943264705882354
TEVA_20230217,-0.6158333333333335,0.6621151515151515,-1.277948484848485
HSP_20110804,-1.0428,-0.0517235294117647,-0.9910764705882353
AMGN_20160923,0.2741,0.12954571428571438,0.14455428571428566
NVS_20010301,1.6097000000000001,-0.1441090909090909,1.7538090909090909
OCUL_20181130,7.456166666666668,-0.6915833333333334,8.14775
BPMC_20201201,-1.625575,0.12979166666666658,-1.7553666666666665
UTHR_20090730,1.785525,0.14170294117647061,1.6438220588235293
BMY_20220909,0.7287333333333333,-0.3257861111111111,1.0545194444444443
TEVA_20200313,-3.1930999999999994,0.8516941176470592,-4.044794117647059
EGRX_20180515,1.14585,0.1957914285714286,0.9500585714285714
VRTY_20010629,2.6487333333333334,-0.2525942857142857,2.901327619047619
ALIM_20181012,0.6502333333333333,0.11031428571428578,0.5399190476190475
XEL_20170705,-0.103075,0.15689117647058823,-0.25996617647058823
ACTG_20200226,-2.3380400000000003,-0.2381484848484848,-2.0998915151515156
SIGA_20220518,13.10368,0.08491470588235296,13.018765294117648
REGN_20170328,0.894725,0.3303828571428571,0.5643421428571429
AADI_20211122,-2.4905,-1.056252777777778,-1.4342472222222222
AQST_20220830,-2.3629249999999997,2.604014285714286,-4.966939285714286
