,days_to_event,avg_rolling_mean_return
0,-58,0.2006559218559219
1,-57,0.1949667965850037
2,-56,0.049932435275080914
3,-55,-0.014866991379310334
4,-54,-0.06680314588427058
5,-53,0.11738826086956522
6,-52,0.1597884542314335
7,-51,0.06357419093851131
8,-50,0.08194928104575165
9,-49,0.06065835065434951
10,-48,0.045300485632183835
11,-47,0.08130867718446602
12,-46,0.17563437030075188
13,-45,0.06895808900523563
14,-44,0.014671011326860817
15,-43,0.03958507189542487
16,-42,0.08973640462427744
17,-41,0.11489868739205518
18,-40,0.18010587378640777
19,-39,0.09545835174953961
20,-38,0.09498157894736842
21,-37,0.11739899186991869
22,-36,0.1445388411458333
23,-35,0.1847828057142857
24,-34,0.1361566666666667
25,-33,0.0820856900726392
26,-32,0.17791274809160315
27,-31,0.08706634038800708
28,-30,0.157355538585209
29,-29,0.15625798026315782
30,-28,0.11664851039260973
31,-27,0.11633052631578948
32,-26,0.09735211822660102
33,-25,0.04664450581395348
34,-24,0.11850732620320854
35,-23,0.14050487096774195
36,-22,0.11908756732891829
37,-21,0.07052497880539493
38,-20,0.08892383944153578
39,-19,0.0006669464720194823
40,-18,0.15787167919799494
41,-17,0.10618355148342064
42,-16,0.13891823717948712
43,-15,0.14029856209150326
44,-14,0.08521348676639817
45,-13,0.16672038062283737
46,-12,0.24077300492610842
47,-11,0.05722348968105065
48,-10,0.10757243432574429
49,-9,0.21808041666666655
50,-8,0.17803706422018342
51,-7,0.1927729276693456
52,-6,0.1998303484320557
53,-5,0.07369675675675677
54,-4,0.08112718631178704
55,-3,0.14393474048442903
56,-2,0.1899638546603476
57,-1,0.17382282722513087
58,0,0.2793214189189189
59,1,0.830400243902439
60,2,0.9932835175879399
61,3,0.4743915019762847
62,4,0.5040855871886123
63,5,0.5528177011494254
64,6,0.5987745866666667
65,7,0.4934217015098722
66,8,0.060240807017543835
67,9,-0.007750650205761324
68,10,0.1457247433460076
69,11,0.041954028776978396
70,12,-0.05353255737704926
71,13,-0.02244555263157902
72,14,-0.03130592851592853
73,15,0.0314465974625144
74,16,0.004013439803439771
75,17,-0.04948963414634142
76,18,-0.002012915921288031
77,19,-0.014219703947368484
78,20,-0.01693946701616427
79,21,-0.030541764932562627
80,22,-0.03870623188405799
81,23,-0.0026475862068965576
82,24,0.01645300000000002
83,25,-0.02108989162272994
84,26,-0.062362505411255424
85,27,-0.03649283692722375
86,28,0.048484249422632734
87,29,0.0523443602983362
88,30,0.06266502444987776
89,31,0.004016872953503544
90,32,-0.13591780180180177
91,33,-0.11546457516339874
92,34,-0.0714385695187166
93,35,-0.07844238702201625
94,36,-0.08068759795570699
95,37,-0.03150138152610442
96,38,-0.01454964083175803
97,39,-0.016213721340388017
98,40,0.06503482084690553
99,41,0.1242918983957219
100,42,0.07273308755760372
101,43,-0.023470559360730604
102,44,-0.05662196969696969
103,45,0.09320231910946195
104,46,0.1307410676156583
105,47,0.1489225123966942
106,48,0.028587547841566516
107,49,0.03120798265895952
108,50,0.027568765008576315
109,51,0.05439490102929533
110,52,0.10243837614678894
111,53,0.09529919298245612
112,54,0.10798905639307646
113,55,0.09202073225516619
114,56,0.10017853286384978
115,57,0.0371406956521739
116,58,-0.059902051597051614
117,59,0.049824944237918195
118,60,0.11935104795737124
