days_to_event,mean_expected_return_biased,mean_three_phase_volatility,mean_rvr,median_rvr,event_count_rvr
-30,0.000610564200503479,0.0172976118975076,13.712378810303049,1.7096759614826587,245981
-29,0.000610564200503479,0.021935195522589785,5.677827862328748,1.2380984352088185,245981
-28,0.000610564200503479,0.024811106623329252,5.125961467395992,1.0714309685539096,245981
-27,0.000610564200503479,0.022646130658669796,9.014710660511685,1.228791982791228,245981
-26,0.000610564200503479,0.017352093934291768,15.88106426086153,1.7462018270086808,245981
-25,0.000610564200503479,0.013973581077572414,20.60545093465151,2.4802828157665857,245981
-24,0.000610564200503479,0.015328060755357534,17.896926813351833,2.1209421717769357,245981
-23,0.000610564200503479,0.017821214731434006,12.987990220392641,1.6402425653023165,245981
-22,0.000610564200503479,0.022254144621720547,7.689412433581978,1.220728514653124,245981
-21,0.000610564200503479,0.026441527847753943,4.1771808788805025,0.9598286462586081,245981
-20,0.000610564200503479,0.02419386611120322,6.923899997483701,1.1059185016229447,245981
-19,0.000610564200503479,0.017964983753411535,14.816506572100273,1.6665145986601964,245981
-18,0.000610564200503479,0.014203274768256974,19.962799030931922,2.435290380976572,245981
-17,0.000610564200503479,0.016101709281361353,16.528741170913126,1.9547790383307828,245981
-16,0.000610564200503479,0.018297494712714503,12.649175755641599,1.5869983334521789,245981
-15,0.000610564200503479,0.02239010253861255,7.702723316707243,1.2395882083207481,245981
-14,0.000610564200503479,0.025538333070886453,4.671401008101174,1.0553340141027243,245981
-13,0.000610564200503479,0.02383235069639751,7.21048099044272,1.1675181961981218,245981
-12,0.000610564200503479,0.01837792557516695,14.347620779764675,1.638810228432598,245981
-11,0.000610564200503479,0.015177330341858277,17.66018619966972,2.1948198343416996,245981
-10,0.000610564200503479,0.017640860572978496,14.021102263572917,1.6779861585273532,245981
-9,0.000610564200503479,0.01979643895315328,10.87342532526559,1.3932705376663548,245981
-8,0.000610564200503479,0.025472057365980794,5.966656319596948,0.9821979034326678,245981
-7,0.000610564200503479,0.030821493833177775,3.320106514539252,0.742131425830324,245981
-6,0.000610564200503479,0.02986902161032451,4.487039450316933,0.7599184095562161,245981
-5,0.000610564200503479,0.024250295058482335,8.12388904977529,0.9514710599939216,245981
-4,0.000610564200503479,0.020656464293451228,9.532068143446903,1.1991824357895033,245981
-3,0.000610564200503479,0.02303591480401569,8.18655644824521,0.9984565593259751,245981
-2,0.0013892253460602566,0.0267425082398461,13.428410917513274,2.2110567869745648,245981
-1,0.00568677754103372,0.03317032929568905,32.81209960234854,8.124453439449045,245981
0,0.010157402749324484,0.03308928255080315,40.35644985996635,15.273845166442372,245981
1,0.00951815549278058,0.03508813461270297,49.73711677396696,12.652336714513012,245981
2,0.011228114875976738,0.032736096655271364,104.05287701054513,24.749752223239167,245981
3,0.01133625471037152,0.028605663451729244,112.04251977716352,99.83743571623754,245981
4,0.010667061785079751,0.03323536509830445,86.62756033540349,36.31514874907905,245981
5,0.011183256951230633,0.04081627682454016,63.32711505687855,14.639282613209012,245981
6,0.00557968116841749,0.05183949139114175,17.496077435120572,3.1722251920709903,245981
7,0.0013747245923485163,0.05842035551388165,2.3283867954364865,0.5793699508352637,245981
8,0.000610564200503479,0.05004828046092757,2.116427371940921,0.29803071608535275,245981
9,0.000610564200503479,0.03406268103823701,5.273226173540038,0.515493916237616,245981
10,0.000610564200503479,0.026244232901527744,7.166741869044424,0.7749884503465618,245981
11,0.000610564200503479,0.02740483937912936,7.440352375602118,0.7453888719671263,245981
12,0.000610564200503479,0.030212713943859805,6.037640993939391,0.6473762108526628,245981
13,0.000610564200503479,0.03681141056997951,3.79416112250529,0.5157007776662471,245981
14,0.000610564200503479,0.0393478217023503,2.7540415513199283,0.49590110491600337,245981
15,0.000610564200503479,0.03713730540418792,3.5373679620541822,0.5363098752221135,245981
16,0.000610564200503479,0.02474204922716138,8.870777105628306,0.983649347939373,245981
17,0.000610564200503479,0.019673208096853283,11.547729889100253,1.4026965471505628,245981
18,0.000610564200503479,0.021288578290585607,11.261713220635736,1.2534040346072846,245981
19,0.000610564200503479,0.02361200927068899,8.994907458696172,1.0743011954868913,245981
20,0.000610564200503479,0.02811090664971844,6.142023594791825,0.89044257223793,245981
21,0.000610564200503479,0.03239962646368426,3.992143132634497,0.7340468893105336,245981
22,0.000610564200503479,0.030446590457484057,4.926043299462662,0.8112025281298093,245981
23,0.000610564200503479,0.020904902606765235,11.639245771446125,1.3976201866272366,245981
24,0.000610564200503479,0.01713305584078415,14.203280898145104,1.8878291969872423,245981
25,0.000610564200503479,0.017762742000239234,14.358903040151116,1.8153055679863068,245981
26,0.000610564200503479,0.020280234806632838,11.3576972093768,1.4625854161038283,245981
27,0.000610564200503479,0.02527193504890511,7.022644459478279,1.1139178946889503,245981
28,0.000610564200503479,0.02816754798712046,5.108178684754037,0.9906927952836615,245981
29,0.000610564200503479,0.02692507695728836,6.3524138401653145,1.0487842848801165,245981
30,0.000610564200503479,0.01868444005165265,13.931126563546886,1.7691324216122843,245981
