phase,start_day,end_day,avg_volatility,median_volatility,avg_event_count
pre_event,-30,-1,0.02976159547860948,0.022706875018800844,245955.0
event_window,0,0,0.040728041090877284,0.0310738226206932,245955.0
post_event_rising,1,5,0.04317009111273831,0.03293700649052008,245955.0
post_event_decay,6,30,0.03663117000051805,0.027948078240362953,245955.0
