phase,start_day,end_day,avg_sharpe,median_sharpe
pre_event,-30,-1,0.00761717092144486,0.011462423191947277
event_day,0,0,0.10219740709620588,0.10219740709620588
post_event_rising,1,5,0.03830186526076167,0.022267573343978234
post_event_decay,6,30,0.015582161239963548,0.040169896817363486
