characteristic,value,phase,avg_rvr,median_rvr,std_rvr,n_events
industry,,pre_event,,,,0
industry,,post_event_rising,,,,0
industry,,post_event_decay,,,,0
industry,Agriculture,pre_event,1.6850247965410416,0.9980888317274818,31.254334253455518,1231
industry,Agriculture,post_event_rising,25.022233363505592,9.343159213363593,80.25035192799157,1247
industry,Agriculture,post_event_decay,1.3381817264851859,0.5535872091364998,8.040824675461916,1245
industry,Construction,pre_event,3.5018077606662024,2.014638750690188,24.12495153148234,2314
industry,Construction,post_event_rising,18.42224850351654,9.884068996356504,28.79146184286754,2316
industry,Construction,post_event_decay,1.8890960235402914,1.0413045157366256,7.194151478283995,2312
industry,Finance,pre_event,4.591394166177418,2.570232872334511,32.835135501801666,54303
industry,Finance,post_event_rising,45.14523162025867,22.611089368156414,71.32954703802365,54331
industry,Finance,post_event_decay,3.4736697568881714,1.4295876099776592,11.820769395865026,54276
industry,Manufacturing,pre_event,1.697872183635023,1.207786744417433,155.51355884332204,92820
industry,Manufacturing,post_event_rising,19.85054462652777,8.154402224515804,48.59492945965778,92849
industry,Manufacturing,post_event_decay,1.3919999305874062,0.6330483707229523,71.871803732591,92755
industry,Mining,pre_event,0.6456002020340597,0.7586731721172628,21.957161178330228,10432
industry,Mining,post_event_rising,16.473910490655975,8.219904722156627,30.18834093160286,10440
industry,Mining,post_event_decay,1.1909394055467117,0.47195471085477436,7.012116193739023,10425
industry,Public Admin,pre_event,1.1034394334764202,0.13516506108027404,544.9619382302483,29989
industry,Public Admin,post_event_rising,23.05405044054895,4.537458703378124,1101.8586387173054,30223
industry,Public Admin,post_event_decay,3.098791320126756,0.12932778684154136,426.79347128571595,30171
industry,Retail,pre_event,2.9473762916296757,1.8621086721551814,30.383113079529867,13950
industry,Retail,post_event_rising,21.507986291176582,9.174458634225905,44.48226913055948,13962
industry,Retail,post_event_decay,2.0114361213035203,0.8703271963821126,10.189186631685534,13945
industry,Services,pre_event,1.5126359495935215,0.889391065124125,27.759816606434974,43467
industry,Services,post_event_rising,17.48753453944482,6.38722623380078,41.509866763935165,43514
industry,Services,post_event_decay,1.3216606910884505,0.47805361323372336,7.039369315358653,43463
industry,Transportation,pre_event,2.3801911076958153,1.5743669693009004,29.366527933904536,21786
industry,Transportation,post_event_rising,31.25295722447567,14.137515524367403,53.609563112486995,21795
industry,Transportation,post_event_decay,2.4431737582802815,0.875493912536576,9.998918933505001,21766
industry,Wholesale,pre_event,1.9780326736000375,1.4205254792623359,29.554704103567037,8118
industry,Wholesale,post_event_rising,21.345114897224093,9.129893874060695,40.00092655058494,8129
industry,Wholesale,post_event_decay,1.7926417749845072,0.7242302610540271,7.715444561037249,8122
