days_to_event,mean_expected_return,median_expected_return,mean_volatility,median_volatility,mean_rvr,median_rvr,count
-60,0.0005011831635933272,0.000497845238095238,0.03376247622961857,0.02686814850255029,1.7517958376793281,0.6605739528237333,100712
-59,0.0005366766595827413,0.0005021411764705876,0.03378889051786462,0.027009621306635794,1.7240868811834351,0.6595679605569367,111365
-58,0.0005467314778709498,0.0005281213235294123,0.03285025950769904,0.02637529524757027,1.8024316954105606,0.7293878879292324,136742
-57,0.0005286233330600998,0.0005286867469879515,0.032764341905510024,0.026336967326510988,1.795103965694631,0.7280513204129244,188717
-56,0.0005132405824620525,0.0005152303849544519,0.03294495170942732,0.026467929657232773,1.7756512426370619,0.7035475670437521,223358
-55,0.00049618275624233,0.000516120955882353,0.03287177167446886,0.026498805347590186,1.7762135934382413,0.7076272812554207,210526
-54,0.0004856177396223728,0.0005154848680436029,0.03308541714943858,0.0265720920849193,1.787238085515189,0.7040511258245941,141030
-53,0.0005001881981759551,0.0004929166666666667,0.03382140550278808,0.02692848504393191,1.7344205818676213,0.6473414206942731,101589
-52,0.0005281413475409974,0.0004897160278745645,0.033656625367910246,0.026977841575090596,1.7061422535272905,0.649125652482611,113006
-51,0.0005287114380493551,0.0005161686746987947,0.032798066303158846,0.026350316901376743,1.7740511573183781,0.713475829531888,139331
-50,0.0005244950701358672,0.0005243658536585366,0.03274424644391301,0.02631799569466963,1.7967562498763752,0.7259606083784681,191433
-49,0.0005096627825986132,0.0005163928571428569,0.03302246970455577,0.02649833976306826,1.778271518529791,0.7040795231833356,226645
-48,0.0005022435232206698,0.0005216626506024098,0.03292741967860582,0.026523545423352873,1.7815157930158347,0.7127650317536095,211219
-47,0.0004941646443583792,0.000519664285714286,0.033102487166117654,0.026574167428340796,1.7890547307339089,0.7097509302492278,141296
-46,0.0005021158183050486,0.000496518663761801,0.03377910678432936,0.026855356410288404,1.7425600820581502,0.654668696639744,102256
-45,0.0005124350457737712,0.0004917303499713138,0.033612243056924174,0.02689898104137497,1.7134155937947824,0.652432561817305,117208
-44,0.0005339500703454216,0.000524674698795181,0.032821046007389096,0.026343775355617327,1.8006731348589526,0.7255201954217327,142315
-43,0.0005238666694750311,0.0005297857142857141,0.032743813447582454,0.02631697158401815,1.8095004659261205,0.730718899706563,193967
-42,0.000509283733530757,0.0005176227768215719,0.03297632015305737,0.026480117797502114,1.785740469130342,0.7069821715121551,226368
-41,0.0005074685751959024,0.0005229047619047614,0.03290233090308167,0.026495690080654444,1.7830753040465959,0.7140286477195117,209529
-40,0.0004921398905084415,0.0005180246913580247,0.03317908467299026,0.026607686351519194,1.7825396213426405,0.7021152954731953,140893
-39,0.0004977159713849364,0.0004917619047619049,0.03378281119263946,0.026837846097982208,1.7366301567523106,0.6503623248114927,101805
-38,0.0005191193789882332,0.0004959404761904762,0.03353245075858507,0.02680731696222544,1.7170566741622295,0.6607956250438748,118127
-37,0.0005456486546566674,0.0005310357142857144,0.03282711780267571,0.026336771458438442,1.81159196123764,0.7363555357478023,143745
-36,0.0005374725211876248,0.0005354285714285716,0.03282259815109837,0.026355463099435768,1.8101521706101555,0.7377588911894829,194385
-35,0.0005145323874029763,0.0005209338235294119,0.03309911734993324,0.02653829251137283,1.774660532448253,0.705314133007105,227660
-34,0.0004977686244312048,0.0005186428571428573,0.033125335987999126,0.026663528812239545,1.7703459282467862,0.6997228972964603,209614
-33,0.0004940520479427082,0.0005181428571428575,0.033320088982176685,0.026736061895988494,1.778235005075386,0.6974758660331902,140745
-32,0.0004922165198633248,0.0004882499999999997,0.03398774468504829,0.026989522736229857,1.7145687183724794,0.6430182494613779,102389
-31,0.0005174085942356953,0.0004999277108433736,0.0337357456934054,0.02694605147137754,1.715621667472705,0.6608595460117749,118413
-30,0.0005479635779384451,0.0005322815547905908,0.0329594003825581,0.02644726743069143,1.801555337458171,0.730023802108644,143994
-29,0.0005392983452200004,0.0005371481481481479,0.03290863942127001,0.02644716206219496,1.8098592043601454,0.7315196676409953,195679
-28,0.000519352816222341,0.0005201295731707317,0.03317998110393944,0.026637228782705885,1.7717301931755989,0.7035398095941695,229578
-27,0.00048814685686668195,0.0005111358024691359,0.033156430955562775,0.026705411144387962,1.7455536723774934,0.6881505095809096,211087
-26,0.0004851085257916445,0.0005112409638554214,0.03336701787683541,0.02677633089408878,1.7625626589347716,0.6874200762315942,141499
-25,0.0004918570518924591,0.00048593902439024423,0.03400072332948645,0.02698486948167849,1.7211176664792163,0.6376518285892018,102517
-24,0.0005358806865206943,0.0005065853658536584,0.03378971445079021,0.02701085105855626,1.7210580402174076,0.6681316163521096,119145
-23,0.0005544116303522014,0.0005298414634146331,0.0330304824702271,0.026509034267622574,1.791411672633545,0.7253234611509936,144674
-22,0.0005459977405593622,0.0005347306468716863,0.033001609636771095,0.02649963291243527,1.7843168471750905,0.7267443402261888,197190
-21,0.0005279205412615616,0.000519115796519411,0.03326657352076078,0.02670239604679916,1.7646566528830614,0.6978198838987162,231654
-20,0.000514251890510915,0.0005196506024096386,0.03320183811627798,0.02674182947494649,1.7564831764822144,0.7005472141378428,213987
-19,0.0005021013474944507,0.0005167349397590357,0.03344753913597234,0.026833269605142897,1.7615286778530732,0.6905202590794406,143653
-18,0.0005016655327980086,0.00048763558201058094,0.03412792689416018,0.02710890549950849,1.7108662033673738,0.6337600563754118,104564
-17,0.0005186469415348744,0.0004879819277108435,0.03392111009214052,0.027105125544045594,1.6799421117127953,0.6409809072353838,121914
-16,0.0005490656309376343,0.00052225,0.03313972162949043,0.02659273984855034,1.7507103087185034,0.7094526334665033,147509
-15,0.0005402972879791602,0.0005261566265060241,0.03318610973914432,0.026646097169255752,1.758627481822668,0.706052482403217,200261
-14,0.0005266230469542812,0.0005150975609756101,0.03362580072833029,0.026986814251559545,1.7200871045989812,0.679727457197597,234351
-13,0.0005211884469301658,0.0005221071428571427,0.033797435261048676,0.027230416043744633,1.6980691588415517,0.6789177503701398,216635
-12,0.0005091893810738022,0.0005184578313253012,0.03437164188188238,0.02760198995170888,1.6633260957013403,0.6577651837207319,145129
-11,0.0005105863773568647,0.000492178571428571,0.035540271677188595,0.028273038572166134,1.5811154536231888,0.5907954433437373,105495
-10,0.0005235820517712202,0.0004923878930355568,0.0360996415497079,0.028889474809323225,1.4838035197991206,0.5699226655580445,122186
-9,0.0005517310163513565,0.0005228982358003449,0.03622836347241595,0.02908141992640502,1.4702116479047649,0.5953175203061456,147798
-8,0.0005437847696577562,0.0005260493827160494,0.03755874120435069,0.03016111646707121,1.3723987467577146,0.5523646237855514,200981
-7,0.0005282055040755141,0.0005157278711484595,0.0395009783369453,0.031710257296007696,1.2421925231662319,0.49242209749491017,235588
-6,0.0005195548827920763,0.0005191445783132533,0.04126021619925044,0.03326545670574958,1.13139095648946,0.452804179667308,218214
-5,0.0005126758492482857,0.0005161294117647058,0.043460371829432645,0.03492212350234718,1.031685799858246,0.40895241019307754,146231
