event_id,vix_start,vix_end,vix_pct_change,pre_days_count,cum_return,post_days_count
WYE_20030604,21.13,31.37,48.46190250828207,21,0.050021294217897916,8
AKCA_20181005,13.42,20.47,52.53353204172876,22,-0.2510658878606481,7
MRK_20001208,18.55,20.03,7.978436657681942,21,-0.01921812520100319,7
MYL_20180710,19.91,14.88,-25.26368658965344,20,-0.04257632339217765,9
BCRX_20201203,53.9,13.74,-74.50834879406307,21,0.611112322917462,7
MYL_20090313,29.78,22.46,-24.58025520483546,21,0.037809146508027025,7
BDX_20021007,36.45,18.19,-50.0960219478738,20,0.0422089381981654,9
BMY_20050107,19.08,12.36,-35.22012578616352,21,-0.012928124635300131,6
NVS_20231006,13.83,16.94,22.487346348517722,22,0.0071750634123426416,7
MYL_20011207,24.01,20.7,-13.785922532278224,21,0.0573393498305701,7
HRTX_20160809,18.71,11.5,-38.53554249064672,21,0.11099320309524185,9
SERV_20240806,27.85,13.0,-53.3213644524237,21,-0.18061660447511907,9
AVEO_20210310,19.46,16.41,-15.673175745118195,21,0.28836550751748535,8
EGRX_20200208,26.12,27.68,5.9724349157733485,21,-0.07299641586379413,6
SRPT_20191212,14.99,12.68,-15.410273515677122,21,0.24366620079991774,7
EYEN_20240304,14.68,14.04,-4.359673024523165,19,-0.32067498223972335,9
ABBV_20200304,33.42,36.82,10.173548773189701,21,-0.025124037944727284,8
LLY_20040903,16.26,16.39,0.7995079950799446,22,0.010342940937190681,6
BAX_20080805,25.78,22.36,-13.266097750193955,21,0.015381604079508726,9
GSK_20060608,12.63,13.65,8.076009501187645,21,-0.0385719858305712,7
VNDA_20090506,30.18,33.36,10.536779324055665,21,9.266062607446942,8
TEVA_20090807,24.76,29.77,20.23424878836833,22,-0.022109821739252578,7
TRVN_20200807,22.21,25.81,16.208914903196746,22,-0.06584421161864773,7
TEVA_20200313,21.17,21.28,0.5196032120925811,21,-0.03974383289974981,7
ATHN_20091203,43.61,41.25,-5.411602843384544,21,-0.008195532000447425,7
VRTX_20180807,14.88,12.18,-18.145161290322587,21,0.006690046925165394,9
NVS_20051102,12.49,13.19,5.604483586869489,22,0.00500106772829656,8
SNY_20020809,42.64,36.33,-14.798311444652912,22,0.02531975994764535,7
GENZ_20010507,25.85,29.94,15.822050290135396,19,0.059626090800728226,9
NVS_20010510,31.97,26.35,-17.57898029402564,21,0.04820388356719607,7
AZN_20200410,35.55,30.75,-13.502109704641343,22,0.12942218087212098,6
HSP_20010709,28.8,19.67,-31.701388888888886,19,-0.1526312365064818,9
KPTI_20190703,15.74,16.37,4.002541296060996,22,0.22782621576819384,7
BIIB_20210607,21.3,18.12,-14.929577464788732,19,0.3403216008982961,9
CPIX_20090911,23.69,23.12,-2.406078514140989,21,0.01675492541927781,7
SNY_20040407,16.03,16.78,4.678727386150967,22,0.0027604347283696207,7
MYL_20180209,12.0,12.19,1.5833333333333293,21,0.07363054642820765,6
JNJ_20010507,25.85,29.94,15.822050290135396,19,0.029869734242117252,9
SPRY_20240809,22.64,23.79,5.07950530035335,22,0.4398393510850982,7
GERN_20240606,12.48,13.49,8.092948717948715,21,0.2175013145618998,7
PFE_20171011,10.5,10.08,-3.9999999999999996,22,0.0005505234526157476,8
AMRX_20180802,17.76,9.52,-46.396396396396405,21,0.054545760904296525,7
BMY_20191108,15.2,12.93,-14.93421052631579,22,0.0012159138942697822,7
CCXI_20211007,16.18,16.1,-0.4944375772558609,22,0.8542241711591638,7
JNJ_20111104,15.91,20.08,26.20993086109364,22,0.008858771791223186,7
JNJ_20000303,23.12,22.01,-4.801038062283734,21,-0.05004301874007511,7
PFE_20191105,13.03,13.02,-0.07674597083652945,21,-0.01015896380989667,9
TAK_20240209,19.26,23.39,21.443406022845267,21,0.04428617098176324,6
AMGN_20040308,14.28,16.62,16.386554621848752,19,-0.03272808103936731,9
MRK_20061006,18.12,11.78,-34.988962472406186,22,0.05649336844463004,7
PRTK_20181002,21.77,9.82,-54.89205328433624,20,-0.04213766615754422,9
PFE_20190503,14.63,15.57,6.425153793574842,21,-0.001965565721857798,7
GENZ_20000712,25.07,24.91,-0.6382130035899487,21,0.008319280236286586,8
GILD_20030702,33.35,25.13,-24.647676161919048,22,0.07781843463508542,7
NVS_20191007,15.27,13.3,-12.901113294040595,20,0.015011411115658069,9
SNY_20020712,25.11,31.42,25.129430505774604,7,-0.01754304604988377,7
ACTG_20200702,14.96,13.79,-7.820855614973272,22,-0.05678985765239719,6
AZN_20230110,25.0,13.09,-47.64,19,-0.02468444103370282,8
NOVN_20060406,13.05,11.86,-9.118773946360163,22,-0.03924838782054807,6
SLXP_20090904,32.05,49.68,55.00780031201249,22,0.6163154642554931,6
TARO_20051004,12.08,12.49,3.394039735099339,20,-0.07904876667216965,9
NVS_20090407,27.1,30.18,11.365313653136525,21,-0.018544024409556603,8
GILD_20060712,11.33,11.09,-2.11827007943513,21,-0.033192043070703336,8
BGNE_20240313,13.34,13.3,-0.29985007496251237,21,-0.07163502925873788,8
LNC_20240105,15.01,13.65,-9.060626249167218,20,0.051487675956275236,6
ASND_20240809,22.64,23.79,5.07950530035335,22,0.09398321337997917,7
EYEN_20230505,20.09,19.08,-5.027376804380297,21,-0.3423153072256585,7
MYL_20180205,13.15,17.31,31.634980988593142,19,-0.010689036582792744,9
GSK_20190606,13.28,15.44,16.26506024096386,21,0.03749717006237141,7
JNJ_20100903,16.48,26.0,57.76699029126213,22,0.029176845221960956,6
PCRX_20171006,10.7,10.21,-4.579439252336434,22,-0.0649537948960085,7
