days_to_event,avg_rolling_mean_return,median_rolling_mean_return,event_count
-60,,,0
-59,,,0
-58,0.20065592185592201,0.1522,273
-57,0.17015528953229392,0.11732500000000007,449
-56,0.03979253843042077,0.05098333333333332,824
-55,-0.014866991379310366,0.01138749999999996,580
-54,-0.06680314588427062,-0.011450000000000002,409
-53,0.10475268431001893,0.08759999999999997,529
-52,0.13361114853195177,0.040260000000000025,579
-51,0.049864741100323635,0.033659999999999926,618
-50,0.062136653594771295,0.054900000000000025,765
-49,0.050874932640492754,0.07634,866
-48,0.04065607183908042,0.048159999999999994,580
-47,0.0748173665048543,0.09039,412
-46,0.160231287593985,0.08420000000000005,532
-45,0.06940950261780109,0.09741999999999998,573
-44,0.010762014563106806,0.010140000000000038,618
-43,0.03642721568627457,0.05954000000000008,765
-42,0.0869436184971099,0.06066000000000002,865
-41,0.11489868739205532,0.05603999999999997,579
-40,0.15899990291262137,0.08540999999999999,412
-39,0.09545835174953957,0.029079999999999936,543
-38,0.09498157894736843,0.08705,570
-37,0.10325970731707312,0.03634,615
-36,0.13321636718750005,0.09654000000000007,768
-35,0.17484490857142865,0.08986,875
-34,0.121138255613126,0.0673,579
-33,0.08208569007263929,0.10604000000000004,413
-32,0.1779127480916027,0.10861000000000007,524
-31,0.08706634038800697,0.044259999999999924,567
-30,0.15735553858520915,0.06855999999999997,622
-29,0.1562579802631579,0.059109999999999926,760
-28,0.11664851039260972,0.05181000000000002,866
-27,0.11633052631578944,0.039260000000000045,570
-26,0.09735211822660092,0.10181000000000019,406
-25,0.0466445058139535,0.07108999999999999,516
-24,0.11850732620320857,0.03220000000000017,561
-23,0.14050487096774186,0.06900000000000006,620
-22,0.11908756732891825,0.06877999999999995,755
-21,0.07029247013487462,0.06658,865
-20,0.08857284467713791,0.11591999999999998,573
-19,0.0006669464720194934,0.03673999999999993,411
-18,0.10634077694235584,0.07808999999999995,532
-17,0.10583255671902267,0.10881999999999982,573
-16,0.12263849358974348,0.08995999999999997,624
-15,0.09118352941176482,0.05078000000000003,765
-14,0.04220787111622545,0.06041999999999995,869
-13,0.06920505190311417,-0.010390000000000038,578
-12,0.12647147783251228,0.03412,406
-11,0.05722348968105075,0.026560000000000094,533
-10,0.09928287215411569,-0.015539999999999964,571
-9,0.15731429487179474,0.017400000000000027,624
-8,0.14139142857142858,0.006419999999999654,763
-7,0.1606711825487945,0.059679999999999976,871
-6,0.19245177700348434,0.06317,574
-5,0.07369675675675674,0.040379999999999985,407
-4,0.0721284410646388,0.0893499999999999,526
-3,0.13614588235294112,0.08658999999999997,578
-2,0.18954259083728292,0.08669999999999997,633
-1,0.17347379581151853,0.07545999999999999,764
0,0.2648402027027028,0.11325000000000003,888
1,0.5237835888501742,0.18506999999999998,574
2,0.5748477889447238,0.23386999999999997,398
3,0.32702268774703563,0.14223999999999998,506
4,0.408034590747331,0.16742,562
5,0.33189609195402325,0.13574000000000017,609
6,0.34141346666666694,0.12757000000000002,750
7,0.26789696283391384,0.04904,861
8,0.06024080701754385,0.04682000000000005,570
9,-0.0077506502057613615,0.029280000000000136,405
10,0.09073976235741443,0.0730600000000007,526
11,0.04155050359712234,0.0563699999999997,556
12,-0.05390036065573776,-0.010250000000000016,610
13,-0.022740763157894767,0.019030000000000002,760
14,-0.03156742035742038,0.016219999999999672,858
15,0.03144659746251441,0.054490000000000205,578
16,0.004013439803439843,0.05264000000000004,407
17,-0.049489634146341464,0.030860000000000158,533
18,-0.0020129159212880017,0.030280000000000022,559
19,-0.014219703947368417,0.05064,608
20,-0.016939467016164292,0.0286599999999999,763
21,-0.03054176493256263,0.0012600000000000458,865
22,-0.03870623188405796,0.03818000000000016,575
23,-0.002647586206896527,0.016669999999999935,406
24,0.01645300000000004,0.017089999999999876,520
25,-0.02108989162272997,0.020200000000000218,569
26,-0.06236250541125546,0.008749999999999973,616
27,-0.03649283692722373,-0.007569999999999973,742
28,0.0484842494226328,0.022049999999999882,866
29,0.052344360298336265,0.02843999999999986,581
30,0.06266502444987776,0.03542000000000031,409
31,0.0040168729535035985,-0.0006000000000000536,509
32,-0.1359178018018018,-0.03717999999999993,555
33,-0.1154645751633987,-0.052729999999999895,612
34,-0.07143856951871667,0.010349999999999991,748
35,-0.07844238702201632,0.014359999999999878,863
36,-0.08068759795570694,-0.012940000000000174,587
37,-0.03150138152610442,0.023060000000000025,415
38,-0.014549640831758066,0.01835999999999961,529
39,-0.016213721340388072,0.02942000000000015,567
40,0.06503482084690555,0.027799999999999974,614
41,0.06491721925133677,0.01878000000000003,748
42,0.021566889400921645,-0.01865000000000005,868
43,-0.023470559360730583,-0.016489999999999855,584
44,-0.05662196969696967,0.028329999999999946,418
45,0.010804805194805188,-0.02183999999999995,539
46,0.05171569395017791,-0.016509999999999962,562
47,0.07551381818181814,0.05430000000000032,605
48,0.02858754784156654,0.047419999999999685,749
49,0.031207982658959525,0.050700000000000016,865
50,0.02756876500857631,0.05629999999999964,583
51,0.0543949010292954,0.07622000000000004,421
52,0.10243837614678904,0.09314000000000013,545
53,0.09529919298245625,0.08789000000000005,570
54,0.1009096259073143,0.13216000000000014,597
55,0.08632474842767296,0.06403000000000003,742
56,0.09521794600938986,0.05794999999999997,852
57,0.03714069565217393,-0.002260000000000057,575
58,-0.05990205159705165,-0.04283999999999989,407
59,0.04196914498141262,0.007409999999999856,538
60,0.11184408525754883,0.034260000000000054,563
