days_to_event,avg_rvr,median_rvr,avg_expected_return,avg_variance,event_count
-35,,,,,0
-34,,,,,0
-33,123.01080420832648,3.147855181587218,-0.00006089865996649932,0.0004447959718090453,398
-32,49.7382198530365,0.807954759429543,-0.0003754052878179383,0.00043375675994477913,249
-31,9.206830535993626,1.6820148518083082,0.0007487192382812506,0.0004750828603348631,511
-30,13.05963808575372,1.4878684276324163,0.0009757984433709077,0.0005038595015730003,621
-29,8.732950389779674,1.531452210511356,0.0009724112500000006,0.0004698526427754604,759
-28,7.77198000779608,2.0468085707926544,0.00045327909930715967,0.0004563339643957271,866
-27,13.598093144611601,1.0941782660991937,0.0004508301754385958,0.00043394333934087723,570
-26,-1.2187123818347174,2.646047920253658,0.00041516600985221655,0.00045016975019408865,406
-25,4.49445849992833,1.6460808669372438,0.00016145794573643415,0.00044493064569205447,516
-24,38.26385086328272,0.39942848001983833,0.0004353286987522277,0.00043943840024854384,561
-23,21.28343814729737,1.473792661197777,0.000541633548387097,0.0004375267596140316,620
-22,-1.5843812417317817,1.88359727459392,0.0005228820309050776,0.0004271858014512142,755
-21,1511.6888081783122,1.9312719567911563,0.0003311761464354527,0.0004293376379588057,865
-20,6.678727637577978,3.7950673367660253,0.0006518949389179756,0.00042892297996986625,573
-19,9.615537327140034,0.7632747047499254,-0.00007034513381995114,0.0004367770854860097,411
-18,271955536985253.97,1.459712612542329,0.000355842731829574,0.0004627643096025065,532
-17,6.060902685064445,2.508176211759656,0.0005851308027923206,0.00045488055974383414,573
-16,7.101043716795236,3.489814406510222,0.0005277769230769237,0.0004553423562855765,624
-15,8.803187618804603,1.458345865506286,0.00019876862745098032,0.0004583737022129411,765
-14,2.7686600741800307,1.020018784536303,-0.00002533440736478692,0.0004529477821052935,869
-13,2.711284125028013,-0.008822706295395395,-0.00033909446366782057,0.000458714203955709,578
-12,4.78283431300835,1.1791344156558443,0.00004665714285714283,0.0004636619589381775,406
-11,3.899462414289673,1.0258410485664806,0.00016965365853658542,0.0004491247904348965,533
-10,0.09851334248514926,-0.4344710597386229,0.0002086837127845893,0.00046689242745376504,571
-9,274996184760128.34,0.5478085038044316,0.00018788397435897484,0.0004814808008048077,624
-8,224898583604614.75,-0.1468986532544741,0.00009362935779816522,0.000470725002191743,763
-7,-1.2302344682108308,1.4943752465365814,0.0003852620742441638,0.0004913725391768468,871
-6,-4.54512405355698,1.5078547212404225,0.0009323818815331012,0.000485351646256272,574
-5,3.6867835714850945,0.3959706512216379,0.0002439960687960685,0.0004954805270882069,407
-4,-6.568951336948694,1.5973616970042306,7.326045627376352e-7,0.0004809796399803865,526
-3,10.351957222743213,2.3465417340784906,0.000622533564013841,0.0004938530273380624,578
-2,4.347321376059151,2.911089766905181,0.0011631832543443905,0.0004836341727985783,633
-1,7.58277240294426,1.9327388743296088,0.0011603557591623032,0.0005014092498746076,764
0,110.1983556950633,37.71824557538412,0.011548147522522536,0.0005257948244734238,888
1,113.95877201501177,33.332464973405564,0.012066748083623697,0.0005995431234515679,574
2,107.37706216762979,35.36596117830392,0.012004663819095481,0.0005969996606366837,398
3,104.95169676664231,35.54565806723478,0.01128487351778655,0.0005520406548802369,506
4,126.1735821164097,30.917569410715153,0.011578458718861203,0.0005628311635224197,562
5,135.58164272916355,35.83027397800418,0.01108150114942529,0.0005745346148886702,609
6,136.63930123060499,37.09674179784455,0.0109488768888889,0.0005917883426015111,750
7,116.78858065126838,37.32276466698566,0.010410476422764221,0.0005666066615437092,860
8,112.95611103329348,39.600455591660726,0.009846194385964917,0.0005125097960473688,570
9,152.24764435677724,37.69076460607443,0.009617668806584366,0.0004760499153055145,405
10,112.83442187839435,38.90388364486978,0.010142498764258562,0.0005110696117043409,526
11,9.58523036940616,0.5613948831321345,0.00031197230215827284,0.000499623288892446,556
12,4.882738753409621,-0.5377813425388238,-0.00040092262295081973,0.0004948064982131151,610
13,-0.11960863801172229,0.07765776589609347,-0.000254713157894737,0.0004834230035000006,760
14,2.5937630032189327,-0.06178441370023002,-0.00026801313131313126,0.00046572678395644904,858
15,6.349434539306476,1.9292905623084473,0.00011248777393310307,0.00044970694885161427,578
16,-2.00678764308233,1.8726094185379967,-0.0002718203931203938,0.0004151706320508596,407
17,6.909091119041946,1.0172591890821354,-0.0003049368667917449,0.00045965076314681005,533
18,1.6421352657652373,1.2902890863128773,0.00003294847942754902,0.00048022359182254036,559
19,-2.8732194205123456,1.1078915999972545,-0.0001677539473684213,0.00046531512857565766,608
20,-1.2288534329151648,0.7941949930562114,-0.0003064549584971602,0.0004533132283894273,763
21,5.470694449450109,-0.05107022592222088,-0.0003841189210019268,0.0004467063032746825,865
22,13.211049250429943,0.6451137668890023,-0.0003617694492753621,0.00043063465738840613,575
23,11.26405546351528,0.2629825438205118,-0.00025136354679802927,0.00043992364036863713,406
24,5.312163507881601,0.4400713948764392,-0.00010588500000000036,0.00044718336628211535,520
25,-0.6425564598669239,0.5008054111355381,-0.00020460401288810751,0.00043836256499499065,569
26,-3.3028655268002254,0.5061991552294299,-0.0005163331709956712,0.00042799397737229366,616
27,11.6925535349461,-0.014536462834085339,-0.00036822648247978446,0.00040767212048079557,742
28,16.876860188277085,0.8651195626624228,0.0002593475750577362,0.0004084885338516164,866
29,4.9058501181062795,0.41244932753121777,0.0005634143430866322,0.0004088819986675275,581
30,2.6720892579102564,1.628926895057917,0.0006830234718826403,0.0004210976837634883,409
