days_to_event,mean_return,std_return,sharpe_ratio,event_count,valid_returns,median_sharpe,smooth_sharpe
-60,,,,0,0,,
-59,,,,0,0,,
-58,,,,0,0,,0.5123737591283954
-57,0.0012832144607843135,0.017344659422013665,0.6104578696406769,272,816,1.8288030867182208,0.39948580823781055
-56,0.0006158287845705968,0.01785654452535732,0.414289648616114,458,1638,1.369312507978063,0.32950028210965643
-55,-0.00024560225819344534,0.01775473745133037,0.1737099064566407,834,3214,0.45309969328096533,0.27366580354982195
-54,0.00026689077932098756,0.017623687639075188,0.11954370372519411,864,3329,0.40169543404229924,0.17891941445985615
-53,0.000013869849537037072,0.017566949002966743,0.05032788931048421,864,3167,0.07728570439974292,0.12193488951652913
-52,-0.00019283232383214557,0.017757254039647452,0.1367259241908477,842,3028,0.07775549119193514,0.12131982037845557
-51,-0.0002262209541062802,0.017779933904476592,0.12936702389947893,828,2820,0.24062868847942373,0.12953910805894928
-50,0.0001317237711689386,0.017570970690205696,0.17063456076627295,807,2528,0.45989742188604915,0.16845836459628688
-49,0.0002173287148594377,0.017995216659244848,0.16064014212766267,830,2759,0.713007958409243,0.18753503846185585
-48,0.0003215517743221691,0.018342435762389347,0.2449241719971722,836,3228,0.7738331067969936,0.22088996641185768
-47,0.0004915479745370371,0.01847476327698019,0.2321092935186924,864,3337,0.579607207927137,0.24453662462451656
-46,0.0005774825590398762,0.017827826928026463,0.29614166364948813,861,3166,0.7121473452366835,0.2719918779317585
-45,0.0006048476670620799,0.017877928407381907,0.28886785182956737,843,3043,0.872114898087347,0.2904034424926299
-44,0.0003522864935587762,0.017292578834719328,0.2979164086638724,828,2822,1.2063820656590454,0.277301349912284
-43,0.0004207952204367532,0.017124004463209472,0.33698199480152913,809,2534,1.0332208554478608,0.2659142531859643
-42,0.00039849347389558253,0.01729928156225236,0.16659883061696304,830,2763,0.1698123066562538,0.2445742142911632
-41,0.0006049988581730768,0.017342046489728542,0.23920618001788968,832,3220,0.6860759572676409,0.2232162836145659
-40,0.0005806234918793502,0.01772412709130472,0.1821676573555617,862,3330,0.47716829707772335,0.18583066647100724
-39,0.0003897464769647699,0.01762076932620885,0.19112675528088596,861,3167,0.6324121063578608,0.22081876467463038
-38,0.0005705124756335281,0.01743532816760195,0.15005390908373584,855,3078,0.09833588622493936,0.24200078718685764
-37,0.0006930209036144577,0.017371517279430152,0.3415393216350787,830,2829,0.8870401829784363,0.27959654652285204
-36,0.00039302228327228316,0.017343396503406043,0.3451162925790261,819,2560,0.6162569027257171,0.338134659296027
-35,0.0007412568108974363,0.017146559869640015,0.3701464540355335,832,2773,0.8321896134950907,0.4108675863828893
-34,0.0011793144602048858,0.017217066003775188,0.48381731914676085,846,3264,0.9245378971338654,0.41374244827705686
-33,0.00116779400921659,0.0177323795134102,0.5137185445180473,868,3341,0.9939989700843455,0.4240926608390857
-32,0.0004839382794457276,0.017666893998838792,0.35591363110591645,866,3180,0.7876093566612227,0.42601797828849053
-31,0.0007784242224880386,0.017774174922100205,0.39686735538917034,836,3029,0.8361373040741438,0.36234650713463057
-30,0.0007865031619747044,0.017696559971676563,0.37977304128255773,817,2792,0.9615346676402852,0.28817913428189657
-29,0.0003794902570480927,0.017920895017339764,0.165459963377461,804,2518,0.3141597470768538,0.2565156097697928
-28,0.00044268083131557707,0.017723340691302016,0.1428816802543771,826,2741,0.25600890563338907,0.2110335560988194
-27,0.0005461246041171812,0.01779279767497706,0.19759600854539802,842,3229,0.17411999305001818,0.1837042040174504
-26,0.00043635182832948424,0.017192848407590777,0.1694570870343032,866,3327,0.34049626527721827,0.18135925110403248
-25,0.0002744123941493455,0.017151957507171932,0.24312628087571272,866,3165,0.38422045508503644,0.18810893392480407
-24,0.00011248097560975609,0.01713985016163663,0.15373519881037143,820,2964,0.6446984293931695,0.20069445673072323
-23,0.0002556476190476191,0.016941954436959686,0.17663009435823507,791,2709,0.21972513566010377,0.21872133169777527
-22,0.0005280862253641815,0.016921603865980277,0.2605236225749936,778,2435,0.5584499429012951,0.23099815526157458
-21,0.0005346088402270885,0.01678430605760771,0.25959146186956367,822,2712,1.1080247461023385,0.2791715183633082
-20,0.0003775294962613144,0.017134187469926978,0.30451039869470925,847,3222,0.5802771946610885,0.30433234318444946
-19,0.0005522116225546608,0.017190253541938618,0.3946020143190394,869,3323,0.9042969937520138,0.3211035581067959
-18,0.00023360502552021982,0.01736623305128727,0.30243421846394153,849,3129,0.8294967625292542,0.324799613676933
-17,0.0002847020883534137,0.017434421685852994,0.344379697186726,830,2999,0.9316634422263275,0.301285989382223
-16,0.00012414097896440123,0.01748321933423924,0.27807173972024896,824,2805,0.8380517369629485,0.2572590558545405
-15,0.00027053447572419426,0.01767036985650031,0.18694227722115928,817,2552,0.47304779141770065,0.22053918841831982
-14,-0.00004233573141486809,0.01762253293477992,0.17446734668062674,834,2779,0.5700921224419886,0.16582493065219595
-13,0.00012953367103694878,0.017818292277301157,0.11883488128283817,839,3248,0.17422810608035905,0.11660186160052473
-12,-0.00011947488372093028,0.018066871716257968,0.07080840835610673,860,3338,0.02728166302984511,0.12207417152446517
-11,-0.00010868987611304683,0.01773371111245855,0.03195639446189284,861,3173,0.09640432565133734,0.11892359173043635
-10,0.00018616579984239568,0.01820453955112367,0.21430382684086158,846,3053,0.49688993925980696,0.12464004980737661
-9,0.0001908668276972626,0.018074852536671706,0.15871444771048251,828,2825,0.48006476234465045,0.15572232468396008
-8,0.00047965633946830277,0.017956518995100885,0.14741717166753956,815,2553,0.4736385824168778,0.18448133218405757
-7,0.0006336031287605296,0.01807918793584977,0.22621978273902393,831,2766,0.6288803609876156,0.16983252373715702
-6,0.0004971794705882354,0.018736645771616177,0.17575143196238038,850,3270,0.3439346839340418,0.1776792615643073
-5,0.0004785233601841198,0.018461925674274918,0.14105978460635873,869,3353,0.3560443410568921,0.19300829298997585
-4,0.00021308533487297935,0.018222328266741188,0.1979481368462339,866,3182,0.5767906725616779,0.18645014760013806
-3,0.0003227775457438347,0.01820514324182222,0.22406232879588237,838,3029,0.536965044809044,0.2573446230276226
