days_to_event,avg_rvr,median_rvr,avg_raw_rvr,avg_expected_return,avg_variance,event_count
-35,,,,,1.000000000000017e-6,0
-34,,,,,1.000000000000013e-6,0
-33,-0.9065027812667572,10.003333333333334,-0.9065027812667572,-4.071943048576219e-7,1.0078529235003315e-6,398
-32,2.907805096184131,4.0649999999999995,2.907805096184131,5.256917670682733e-6,1.0031905157255845e-6,249
-31,14.010526541028995,7.624000000000001,14.010526541028995,0.00001675717936197917,1.0135104592634523e-6,512
-30,14.324022262755674,6.379999999999994,14.324022262755674,0.000015635739398819127,1.009446148204241e-6,621
-29,15.868410267577998,5.442000000000001,15.868410267577998,0.00001667030416666668,1.0068344081457823e-6,760
-28,10.238261303252775,5.422999999999997,10.238261303252775,0.000011656193995381067,1.0084331738947742e-6,866
-27,10.57679785460401,3.926000000000003,10.57679785460401,0.000011633052631578944,1.0090390763861181e-6,570
-26,9.089981120703088,10.181000000000003,9.089981120703088,9.73521182266011e-6,1.0112439812514857e-6,406
-25,4.364032180514419,7.108999999999998,4.364032180514419,4.6644505813953486e-6,1.0017387552724727e-6,516
-24,11.254515675038462,3.2200000000000024,11.254515675038462,0.000011850732620320856,1.002062678799764e-6,561
-23,12.24103031760619,6.900000000000004,12.24103031760619,0.0000140504870967742,1.0142163955467069e-6,620
-22,10.709901864093341,6.8779999999999974,10.709901864093341,0.000011908756732891834,1.0151169438528988e-6,755
-21,6.787726627384932,6.658000000000006,6.787726627384932,7.052497880539496e-6,1.0157998441784793e-6,865
-20,9.099041945174905,11.592000000000004,9.099041945174905,8.892383944153579e-6,1.0193097629068193e-6,573
-19,0.7172697810993449,3.6739999999999924,0.7172697810993449,6.669464720194599e-8,1.0068360822977944e-6,411
-18,7.969345399900374,7.809000000000002,7.969345399900374,0.00001578716791979952,1.1288784367542037e-6,532
-17,8.650413140685602,10.881999999999996,8.650413140685602,0.000010618355148342058,1.0118359533693147e-6,573
-16,8.638182003046564,8.995999999999995,8.638182003046564,0.000013891823717948732,1.053663178947514e-6,624
-15,4.1797829230333665,5.078000000000004,4.1797829230333665,0.00001402985620915033,1.1283066858895714e-6,765
-14,0.7664558200834802,6.041999999999999,0.7664558200834802,8.52134867663981e-6,1.103694747349867e-6,869
-13,-1.922590058546533,-1.0390000000000041,-1.922590058546533,0.000016672038062283752,1.2369238649306187e-6,578
-12,3.1831673998850385,3.4119999999999937,3.1831673998850385,0.000024077300492610836,1.2668319979019313e-6,406
-11,4.821021141619221,2.655999999999999,4.821021141619221,5.72234896810506e-6,1.0057134307373665e-6,533
-10,6.05761590118139,-1.5539999999999923,6.05761590118139,0.000010757243432574427,1.0414348389224604e-6,571
-9,7.212834828323928,1.7400000000000055,7.212834828323928,0.000021808041666666674,1.1512938521961263e-6,624
-8,5.925386986236859,0.6419999999999929,5.925386986236859,0.000017803706422018384,1.1038804062903307e-6,763
-7,8.899561233752065,5.968000000000002,8.899561233752065,0.000019277292766934592,1.0928422540269402e-6,871
-6,14.265295854247759,6.316999999999999,14.265295854247759,0.000019983034843205556,1.0378137784311983e-6,574
-5,5.360080866235347,4.038000000000002,5.360080866235347,7.3696756756756755e-6,1.0238127758855858e-6,407
-4,4.056992179883011,8.935000000000006,4.056992179883011,8.112718631178702e-6,1.049348246978909e-6,526
-3,11.92115240681253,8.659000000000002,11.92115240681253,0.000014393474048442904,1.0426343306021587e-6,578
-2,17.590844026345454,8.669999999999996,17.590844026345454,0.000018996385466034738,1.024576716743442e-6,633
-1,17.315905312982146,7.395999999999996,17.315905312982146,0.000017382282722513092,1.027015201062856e-6,764
0,122.02327067424514,110.71600000000001,122.02327067424514,0.00012793214189189207,1.0589828278625957e-6,888
1,133.5596497571891,117.49800000000002,133.5596497571891,0.00017865236236933808,2.179747121009401e-6,574
2,134.61089816531867,117.46700000000001,134.61089816531867,0.00019300041708542731,2.6300075149182512e-6,398
3,120.07058441554908,112.39025996897689,120.07058441554908,0.00014743915019762853,1.4312745508123452e-6,506
4,125.59550227326908,115.50300000000001,125.59550227326908,0.00015040855871886115,1.264913920022435e-6,562
5,118.78112810690469,112.42800000000001,118.78112810690469,0.00015114627257799696,1.9186523421364545e-6,609
6,116.08280826727476,110.25,116.08280826727476,0.0001565194346666667,1.96300292223668e-6,750
7,110.31305601048624,103.90599999999998,110.31305601048624,0.00014641706213705,1.8342621075014662e-6,861
8,103.14587762906638,104.444,103.14587762906638,0.00010602408070175437,1.0338560923845137e-6,570
9,97.32280245876171,102.76400000000002,97.32280245876171,0.00009922493497942389,1.0255784962318603e-6,405
10,104.37256086838165,107.05099999999996,104.37256086838165,0.00011457247433460075,1.164015173035241e-6,526
11,4.29625024649094,5.637000000000012,4.29625024649094,4.195402877697837e-6,1.0213059543138974e-6,556
12,-4.558103147623684,-1.024999999999996,-4.558103147623684,-5.353255737704913e-6,1.0200354494671494e-6,610
13,-1.8230256496707662,1.9029999999999987,-1.8230256496707662,-2.244555263157892e-6,1.0231320613195825e-6,760
14,-3.2103693652327223,1.62199999999998,-3.2103693652327223,-3.13059285159285e-6,1.0165999877228918e-6,858
15,1.5522724447944516,5.449000000000017,1.5522724447944516,3.144659746251442e-6,1.0116213136909298e-6,578
