days_to_event,event_count,mean_q5,mean_q10,mean_q25,mean_q50,mean_q75,mean_q90,mean_q95
-60,0,,,,,,,
-59,0,,,,,,,
-58,17270,-3.474285,-2.219833333333333,-0.8388833333333333,0.0035333333333333146,0.7852416666666667,2.0904433333333334,3.3731233333333326
-57,78753,-3.0866999999999996,-1.9785733333333333,-0.7932,0.011500000000000014,0.823225,2.0380000000000003,3.211189999999989
-56,209133,-3.0770600000000004,-1.9917199999999997,-0.7944333333333337,0.0054666666666666405,0.7798666666666666,1.9588933333333338,3.070419999999999
-55,238026,-2.70111875,-1.7576574999999999,-0.7038625000000001,0.013475000000000011,0.7199150000000001,1.7672666666666665,2.7952749999999997
-54,238642,-2.5192987500000004,-1.641538,-0.650795,0.018435000000000007,0.679725,1.657275,2.614364249999996
-53,238660,-2.41753375,-1.5714000000000001,-0.6253041666666667,0.02009999999999998,0.6600270833333333,1.605506666666667,2.5262849999999992
-52,238720,-2.3441866666666664,-1.520904,-0.6018785714285715,0.018739285714285726,0.6331339285714286,1.5464161904761906,2.418383499999999
-51,238919,-2.2354805357142857,-1.4500142857142857,-0.57649375,0.017516666666666635,0.6027154761904763,1.4673066666666674,2.2951516666666665
-50,239426,-2.1197375,-1.3677916666666667,-0.5435138392857144,0.020164583333333354,0.5676702380952381,1.3771669642857143,2.1596
-49,239624,-2.0465205357142855,-1.3200785714285712,-0.5258178571428571,0.02049374999999993,0.550840625,1.3429666666666686,2.096965357142854
-48,239819,-1.968674027777778,-1.2796388888888888,-0.5082801587301587,0.022944444444444406,0.5460714285714285,1.3183341666666668,2.064670535714284
-47,239852,-1.95562,-1.2736999999999998,-0.5027531249999999,0.024507142857142887,0.5515916666666667,1.3190825,2.061878263888885
-46,239730,-2.003342589285714,-1.303611111111111,-0.5165052083333334,0.0238071428571429,0.5608972222222222,1.3514050000000002,2.118281388888886
-45,239633,-2.074837142857143,-1.3558942857142857,-0.5406285714285716,0.021811111111111007,0.5664857142857144,1.380396666666667,2.1662582857142856
-44,239629,-2.1096780952380954,-1.3788214285714284,-0.5588833333333334,0.013985714285714271,0.5674999999999999,1.3920885714285716,2.192338857142839
-43,239820,-2.0839734821428557,-1.374572857142857,-0.5557446428571429,0.009662499999999997,0.5540343750000001,1.3590157142857144,2.150176857142856
-42,240034,-2.0155331249999997,-1.3295540476190473,-0.53343125,0.011369047619047574,0.5386972222222222,1.3173217857142858,2.072524841269841
-41,240306,-1.9628677083333335,-1.2862125000000002,-0.5123541666666667,0.018044444444444398,0.5328083333333333,1.2943866071428571,2.0370156250000004
-40,240432,-1.9430974999999997,-1.2710442857142854,-0.5030749999999999,0.022975000000000058,0.5385281249999999,1.2947522222222219,2.0248681249999994
-39,240328,-1.9785015079365078,-1.2967216666666668,-0.5099446428571429,0.023294444444444437,0.5505678571428573,1.3332841666666677,2.077288571428571
-38,240157,-2.057869333333333,-1.3391114285714285,-0.5307142857142857,0.019800000000000005,0.5584500000000001,1.3557717857142855,2.1140799999999995
-37,240110,-2.1014914285714283,-1.375020714285714,-0.548875,0.014706250000000042,0.5623392857142856,1.3658452380952386,2.1181586904761898
-36,240200,-2.0987658333333328,-1.3645580952380951,-0.5448595238095237,0.012466666666666657,0.5465446428571429,1.3226178571428575,2.0656755357142855
-35,240450,-2.046473392857143,-1.3264507142857145,-0.5287541666666666,0.01271269841269839,0.5305208333333332,1.2794382142857148,1.996718571428571
-34,240692,-1.9864318055555557,-1.284521111111111,-0.50653125,0.01808819444444445,0.5266531249999999,1.2560524999999998,1.9520737499999978
-33,240809,-1.9723339285714285,-1.2696755555555554,-0.5034222222222222,0.0217625,0.5312333333333333,1.2608384126984131,1.948032499999991
-32,240659,-1.9976233333333335,-1.29622,-0.5127354166666667,0.025366666666666746,0.5480111111111112,1.3033466666666669,2.013888253968253
-31,240292,-2.069576428571428,-1.345816825396825,-0.5315207142857143,0.022657777777777756,0.5581517857142858,1.3259216666666667,2.0604532142857144
-30,240109,-2.116782857142857,-1.3793346666666666,-0.5460857142857143,0.02108571428571431,0.5639,1.3464057142857146,2.0895257142857138
-29,240249,-2.093928571428571,-1.3576542857142855,-0.5416166666666666,0.018155555555555578,0.553042857142857,1.3166257142857158,2.057358095238094
-28,240397,-2.029267142857143,-1.3228095238095234,-0.5178714285714286,0.020324999999999982,0.5433428571428571,1.2867189285714282,1.9927017142857104
-27,240626,-1.9662738095238097,-1.272823611111111,-0.4958083333333333,0.02920000000000003,0.5389656249999999,1.27009375,1.963134920634921
-26,240761,-1.9389749999999997,-1.2597888888888888,-0.48971111111111126,0.0345375,0.5470222222222222,1.2858444444444443,1.982966666666667
-25,240632,-1.9697391666666664,-1.2832983333333337,-0.500173015873016,0.03500625000000001,0.5647119047619049,1.3288112499999998,2.0600665178571425
-24,240453,-2.026809642857143,-1.315131111111111,-0.5163555555555557,0.03197777777777771,0.5783142857142857,1.3586704761904762,2.112857142857141
-23,240340,-2.055890625,-1.34070375,-0.530690625,0.03275982142857145,0.5869,1.390432380952381,2.1592776785714274
-22,240676,-2.0549285714285714,-1.330025,-0.525228125,0.03219374999999998,0.5794321428571428,1.3742928571428572,2.1321941964285713
-21,241020,-2.01127625,-1.2975114285714284,-0.5079424107142858,0.03355277777777779,0.5642999999999999,1.3321145238095238,2.060208888888884
-20,241348,-1.950335625,-1.2624766666666667,-0.48875178571428574,0.03764999999999999,0.5593559523809524,1.3030766666666693,2.001795
-19,241510,-1.9298285714285714,-1.2567024999999998,-0.48292936507936507,0.041229861111111106,0.5563619047619047,1.301988392857143,1.9974487499999993
-18,241367,-1.9589233333333333,-1.2763666666666666,-0.49569285714285716,0.04308333333333328,0.573475,1.3316239999999997,2.062463333333333
-17,241174,-2.015024285714286,-1.3167714285714285,-0.5150575892857142,0.037887500000000046,0.5794741071428573,1.3546814285714288,2.0956404464285705
-16,241128,-2.0565808333333333,-1.347192857142857,-0.5329642857142856,0.03278660714285714,0.5850357142857142,1.3677371428571434,2.1116564285714268
-15,241335,-2.0717475,-1.3377847619047618,-0.5293761904761906,0.031012499999999995,0.5717154761904761,1.3538960714285717,2.080047499999995
-14,241525,-1.9974299999999996,-1.2960628571428572,-0.5083,0.033288888888888875,0.563988888888889,1.3091041269841275,2.0177914285714276
-13,241702,-1.9407727777777777,-1.263097142857143,-0.49100381944444443,0.03503333333333331,0.5504753968253968,1.2798971428571426,1.9693279166666648
-12,241708,-1.9149768055555556,-1.2477525396825397,-0.4870129464285714,0.03678660714285714,0.5491916666666667,1.277726666666668,1.9658433333333332
-11,241661,-1.9487875000000001,-1.2741428571428572,-0.49985555555555555,0.03592222222222215,0.5560875,1.3063285714285717,2.026744444444444
-10,241594,-1.9768864285714285,-1.2967237499999997,-0.5145107142857142,0.03288750000000003,0.5701428571428573,1.3506057142857146,2.088950833333331
-9,241594,-2.0161242857142856,-1.3183174999999998,-0.518617857142857,0.03256428571428574,0.5784142857142858,1.3714300000000004,2.11184357142857
-8,241653,-1.9879349999999996,-1.2947849999999999,-0.5082111111111111,0.03519999999999997,0.5712166666666667,1.3611419047619069,2.0999078571428567
-7,241706,-1.9127333333333332,-1.245713492063492,-0.487985119047619,0.03674920634920636,0.558970138888889,1.3238527777777778,2.0492729166666663
-6,241753,-1.8450133333333334,-1.2039711111111109,-0.47392499999999993,0.0378125,0.5480875000000002,1.3002088888888892,2.021954285714285
-5,241774,-1.835359027777778,-1.2016040277777775,-0.4750166666666667,0.037236507936507936,0.549748611111111,1.307016250000001,2.022174999999999
-4,241766,-1.8694741071428571,-1.2271131944444447,-0.4836834821428572,0.04115357142857143,0.5708343749999999,1.3491285714285715,2.0868954861111115
-3,241740,-1.9246298611111112,-1.2665228571428573,-0.499715625,0.041373214285714346,0.584342857142857,1.3925830357142863,2.165729285714286
-2,241744,-1.9468358928571423,-1.2715957142857144,-0.5021874999999999,0.04192916666666667,0.59955,1.4229504166666673,2.216048571428571
-1,241761,-1.9084625000000002,-1.2524857142857142,-0.4872888888888888,0.04921666666666664,0.6035714285714285,1.4238166666666667,2.1962428571428574
0,241846,-2.0495885416666666,-1.342881746031746,-0.5220083333333335,0.05880714285714288,0.6635,1.5425507936507936,2.3570714285714285
1,241895,-2.3488152777777778,-1.5585066666666667,-0.6145166666666666,0.05128888888888887,0.7354625000000004,1.699935000000001,2.5549837499999994
2,242023,-2.373245,-1.5863825,-0.6301111111111112,0.0485875,0.7417562499999999,1.7082975000000022,2.551005714285714
3,242051,-2.489397619047619,-1.6676,-0.6626166666666664,0.04659999999999999,0.7672071428571429,1.7823142857142857,2.659935714285714
4,242230,-2.6622285714285714,-1.7822290476190472,-0.7113928571428572,0.04424642857142859,0.7983511904761905,1.865087142857143,2.797530714285712
5,242652,-2.7862675,-1.8689714285714285,-0.742203125,0.03757321428571435,0.8176785714285714,1.9241103571428568,2.896755714285704
6,242753,-2.7589764285714287,-1.8513575000000002,-0.7365285714285715,0.03532857142857152,0.8028000000000001,1.886620634920635,2.8393742857142845
7,242765,-2.643590357142857,-1.7760442857142857,-0.706425,0.03394285714285709,0.7687624999999998,1.8023625000000005,2.702295555555555
8,242778,-2.559069722222222,-1.7150955555555556,-0.6904269841269841,0.03221111111111108,0.7440138392857144,1.7342200000000014,2.5974074999999996
9,242754,-2.558697152777778,-1.7203524999999997,-0.6960500000000001,0.031225000000000003,0.7442166666666666,1.7335712500000007,2.589920347222222
10,242712,-2.6797766666666667,-1.8124793650793651,-0.7360500000000001,0.027284523809523738,0.7647246031746031,1.7990730555555559,2.695486874999997
11,242658,-2.5962,-1.7262899999999999,-0.6923906249999999,0.018366964285714327,0.7002821428571429,1.6854714285714283,2.558102232142857
12,242628,-2.1483941666666664,-1.427368095238095,-0.5818776785714286,0.0218,0.6075339285714287,1.4335125000000017,2.199412857142857
13,242613,-2.0661171428571428,-1.3731871428571427,-0.5552857142857143,0.023671428571428454,0.5820142857142857,1.3937100000000002,2.14375
14,242635,-1.980884444444444,-1.3094975000000002,-0.5273993055555556,0.021299999999999996,0.5575895833333333,1.3207736111111121,2.036989999999999
15,242658,-1.885186875,-1.2489322222222226,-0.5028541666666667,0.024421111111111116,0.53945,1.2747130357142855,1.965353541666666
16,242660,-1.856908333333333,-1.22545125,-0.48733437500000004,0.03012222222222216,0.541165625,1.2753012500000003,1.954154999999999
17,242604,-1.8812585714285714,-1.2357088888888887,-0.48948392857142853,0.03389999999999995,0.5565222222222224,1.306808055555556,2.015046696428569
18,242526,-1.9287285714285713,-1.2723976190476192,-0.5072607638888889,0.03372261904761904,0.5732571428571428,1.3462660714285715,2.072335714285714
19,242470,-1.9524091666666668,-1.2878885714285713,-0.5128571428571429,0.031100000000000003,0.5697575892857143,1.3599380357142858,2.107222738095233
20,242478,-1.91849,-1.26257,-0.5056857142857143,0.03073541666666668,0.5631567460317459,1.3372191666666666,2.0773276785714283
21,242517,-1.852355555555556,-1.2098755555555554,-0.48161428571428566,0.030650000000000014,0.5484666666666667,1.308448571428571,2.0154433333333306
22,242543,-1.8028777777777776,-1.1739405555555555,-0.46600089285714286,0.032888888888888974,0.537207142857143,1.2743971428571432,1.964124285714285
23,242552,-1.801588125,-1.1690719444444442,-0.4589756944444445,0.037181746031745996,0.5386119047619048,1.277342222222222,1.9722000000000002
24,242485,-1.8325857142857143,-1.1901666666666666,-0.46363333333333334,0.04068571428571428,0.5551333333333334,1.3086171428571434,2.0290349999999977
25,242402,-1.8874313392857145,-1.2276557142857143,-0.4744535714285715,0.04524017857142855,0.5763552083333334,1.356226964285714,2.097165833333333
26,242374,-1.915717857142857,-1.246752857142857,-0.4917,0.04381666666666665,0.580809375,1.377959523809524,2.144416666666661
