days_to_approval,annualized_sharpe
-60,
-59,
-58,19228640.030253425
-57,27.758203967391676
-56,4.030879450557621
-55,-9.132184536866072
-54,0.33148678811565824
-53,-0.19837593159246397
-52,-0.3481426148593373
-51,1.7444140810976714
-50,6.691105439522303
-49,1.2253755176680725
-48,-5.677805766524539
-47,-0.28538107773664045
-46,0.8360769179696179
-45,0.6556946470948845
-44,0.6590473358520379
-43,2.1834768735000813
-42,1.084627537114216
-41,0.899708087536226
-40,1.336146154607446
-39,0.8588025507451518
-38,0.7882310231679225
-37,0.9228553480460442
-36,0.253619982031673
-35,0.4482388723379869
-34,0.4754849460136517
-33,0.7088998978194779
-32,0.9788132247604101
-31,0.6755483804618571
-30,0.7622842522557041
-29,0.2055211161725677
-28,0.18330833735706437
-27,0.1414086873156346
-26,0.6195564937256121
-25,0.5632715385374477
-24,0.3763235408474106
-23,0.46260445843020676
-22,0.30122244191745284
-21,0.3964921510665794
-20,-1.114050585366319
-19,0.693111352101408
-18,0.4849672179191471
-17,0.5101019772105025
-16,0.8532109626490484
-15,-3.129066541234356
-14,0.4399436023124225
-13,2.5185446292964833
-12,0.8365911518278493
-11,0.4655844347126199
-10,0.2608394326844524
-9,-1.4737301922860715
-8,0.3632128052352738
-7,0.819198822614233
-6,0.368662225994978
-5,0.14247819440136814
-4,0.5160524410516089
-3,0.5921015932687326
-2,5.408596909723236
-1,0.8325706956787706
0,0.1342074367930306
1,0.7933284017454384
2,0.6619418042440158
3,0.5089959181486617
4,0.9079412704416865
5,0.32646902629696917
6,0.0409891958326696
7,-3.64740517489573
8,0.4931413786695155
9,0.7053400955579285
10,0.4088812516600709
11,0.3443570231024465
12,0.36780772918321275
13,0.6008334122899246
14,0.1677051532885854
15,-6.858991283219133
16,-0.10445215330703397
17,0.5392542333347586
18,0.5830839528561936
19,-0.1782992038081073
20,0.9180534169679025
21,1.24148051042129
22,1.4962889279304774
23,1.477300466797171
24,0.6293977187230808
25,0.9358788902742162
26,0.6398395203321464
27,-33.96450786516668
28,-2.9033237533531344
29,0.8413303706039235
30,-0.16606177677741576
31,0.4451046225620147
32,0.4554215938496833
33,-0.014454776877589321
34,0.34124059875905566
35,1.9458069231955863
36,0.8960330890201627
37,0.5065665546434868
38,0.44393329696669565
39,0.20949394377010058
40,0.6404261042944998
41,0.7112401609040783
42,0.5233988744720457
43,0.47074490603396
44,0.5961983827960472
45,0.38386320741313
46,0.010096960779769456
47,0.035746476158115235
48,-0.2425907513548431
49,0.38230211511842555
50,1.0770125750029407
51,1.3560195581139631
52,0.3768812490987758
53,0.3902372807382961
54,0.5385845135804929
55,0.21719909514251043
56,0.5758048633615271
57,0.37894914234840527
58,0.36623737184091393
59,0.6896370063410938
60,0.5501213888138223
