days_to_event,mean_rtv,median_rtv,std_rtv,count,smooth_mean_rtv
-60,,,,0,
-59,,,,0,-15083.75256815091
-58,-28391.906150435516,0.3303276852768977,3550639.159794053,17199,-9603.056433808755
-57,-1775.5989858663047,0.3330753515200141,374882.36465890135,77333,-5994.153965343117
-56,1358.3358348755569,0.3267952777180314,6587202.954742979,204854,-4794.812321726179
-55,4832.553440053794,0.3703809764017062,2139779.773818526,214254,883.9369691286181
-54,2.554252741574124,0.38087400514955033,470.3123291873878,143823,1239.3472351751939
-53,1.8403038384691168,0.3917720984420559,128.72438790877902,103365,966.15462512061
-52,1.4523443665747842,0.3398273514197086,112.03636134006082,114637,-1.197858708188762
-51,-7.627215397362556,0.39931250025449105,3619.1284024084707,141502,-1.9330253060713236
-50,-4.20897909020042,0.39911461980692686,2262.7400361952064,194737,-1.9272166422077113
-49,-1.1215802478386847,0.3984029883411302,1560.4432483312041,230567,-1.8120907111445064
-48,1.8693471577871792,0.39423898606518454,112.7845070233107,215059,0.04718128178734475
-47,2.0279740218908078,0.39109626981081225,239.21181650424197,143826,1.1024811248359896
-46,1.6691445672967007,0.36863199744167896,433.27589037558687,103859,0.37569766717907493
-45,1.0675201250428048,0.09773909658880399,117.6774592585246,118826,0.46551064975596174
-44,-4.755497536123258,0.3196982583087574,2162.3258182766567,144255,1.6976842714623384
-43,2.3184120706716134,0.3449424115028418,305.89874271261084,196568,241325834477.9649
-42,8.18884213042269,0.3930001903630229,3612.6374767235206,229164,12801175206011.463
-41,1206629172383.0051,0.3835760071714384,556007338266495.75,212331,12303298664652.02
-40,62799246857668.555,0.3951515217641584,2.4455443639323024e16,142791,12733327582468.879
-39,-2489382706801.9697,0.3953023712807158,1785772526692765.2,102919,25471824018311.098
-38,2150144589086.609,0.38069159050053664,742211101262745.6,119157,34662008067731.477
-37,63692482179219.28,0.39610035368911856,2.42375629775288e16,144811,22451076144579.86
-36,47157549419484.9,0.39236468603635505,2.0841946803064076e16,195841,23191374568603.297
-35,1744587241910.475,0.3952959495032734,613654756966996.4,229464,23122342359044.594
-34,1212109413315.212,0.3607016393123862,557268538607095.94,211371,11160585577784.363
-33,1804983541293.0945,0.3936868746074395,680033388104553.1,141943,33020233719193.176
-32,3883698272918.1387,0.2674682106826654,915586769569120.9,103077,32870844414747.168
-31,156455790126528.97,0.2575048466516542,5.351543200964684e16,118825,32957576747352.54
-30,997640719680.4069,0.3981497312298321,379176977441848.9,144456,31971112667273.49
-29,1645771076342.0586,0.3992294754520703,1006242416801965.4,196378,30650375323525.6
-28,-3127336859102.1406,0.3999322125629242,2565188331618812.0,230412,170808071365.451
-27,-2719988445821.2983,0.40108512428745535,2799975452800043.0,211935,-28720072570.272076
-26,4057953865728.2236,0.40281271269904073,1529461061370618.8,142057,-357874287838.2295
-25,1.7915884187949689,0.39939155141310534,129.3328871609702,102752,267593083983.56464
-24,2.271370094511388,0.3985902670136619,119.84620913940932,118987,811590773148.5883
-23,6.829997809363488,0.40069319333859316,1571.0107969688472,144295,3.5095037878488924
-22,3.8200202661864386,0.4750482664264413,484.6095416343347,196999,-2152971283243.123
-21,2.82974550174446,0.4058578706410979,155.2193099739342,231650,-2152971283198.616
-20,-10764856416231.371,0.40387765150578087,4982175118616545.0,214201,-2152971283137.6184
-19,224.8064780546813,0.4028307720375253,84850.54888352747,143914,-2152971282487.608
-18,311.8192609253065,0.39959487440048436,99247.26015953295,104688,-2152971282486.939
-17,3253.8722098851927,0.39752313236313824,1134985.112064621,121734,783.7377306274274
-16,6.173141696525719,0.399581212832099,1508.464966022309,147258,1747920870259.3086
-15,122.01287188713707,0.40002915412475176,53668.32622375926,200203,3637545672361.3
