characteristic,value,phase,avg_rvr,median_rvr,std_rvr,n_events
size_quintile,Q1_Small,pre_event,3.1103677720032734,1.01160118980652,20.19133649194137,226
size_quintile,Q1_Small,post_event_rising,20.132335465629453,5.629121431524687,63.427539413553866,226
size_quintile,Q1_Small,post_event_decay,1.5101489142521365,0.40937870255233005,9.299143761273879,226
size_quintile,Q2,pre_event,3.226097715571454,1.6694818284966504,25.72601504347817,208
size_quintile,Q2,post_event_rising,24.962611646882763,14.547757795608717,29.378478376032167,208
size_quintile,Q2,post_event_decay,1.8536640409615404,0.8741674729390031,9.11019703915796,208
size_quintile,Q3,pre_event,6.219391254989731,4.593221133019796,26.51790014085313,210
size_quintile,Q3,post_event_rising,42.815149727984,24.079404113086902,60.21413542248729,210
size_quintile,Q3,post_event_decay,4.217128137191383,2.5692228423487484,12.322287778060337,209
size_quintile,Q4,pre_event,11.849472289910892,7.340921501653856,28.6350985697689,209
size_quintile,Q4,post_event_rising,48.324518321509345,33.669025136394836,45.36612544387067,209
size_quintile,Q4,post_event_decay,6.948630588457909,4.470952147308019,13.911531458550936,207
size_quintile,Q5_Large,pre_event,9.03844129743072,5.6734943464542535,34.93162829797301,201
size_quintile,Q5_Large,post_event_rising,61.82575121193144,44.161413458252426,57.831762418790404,201
size_quintile,Q5_Large,post_event_decay,6.138848872363728,3.3598073868665406,15.854487388893185,201
size_quintile,Unknown,pre_event,19.36233345954787,11.073303777635921,36.608372002399584,11
size_quintile,Unknown,post_event_rising,92.57238267021178,38.35271620415071,141.12723572554802,9
size_quintile,Unknown,post_event_decay,9.45412140173335,4.3007511257087065,12.981621419214708,10
