days_to_event,mean_return,std_return,sharpe_ratio,median_sharpe,event_count,valid_returns,smooth_sharpe
-30,0.0007865031619747043,0.017696559971676556,0.37977304128255784,0.9615346676402852,817,2792,0.229371561638132
-29,0.0003794902570480929,0.017920895017339764,0.165459963377461,0.3141597470768538,804,2518,0.2214276733649485
-28,0.0004426808313155772,0.01772334069130201,0.14288168025437714,0.25600890563338907,826,2741,0.21103355609881946
-27,0.0005461246041171816,0.017792797674977063,0.19759600854539805,0.17411999305001818,842,3229,0.1837042040174504
-26,0.00043635182832948413,0.01719284840759077,0.16945708703430318,0.34049626527721827,866,3327,0.1813592511040325
-25,0.00027441239414934557,0.017151957507171932,0.24312628087571272,0.38422045508503644,866,3165,0.18810893392480404
-24,0.0001124809756097561,0.017139850161636626,0.15373519881037143,0.6446984293931695,820,2964,0.20069445673072317
-23,0.00025564761904761917,0.016941954436959682,0.17663009435823496,0.21972513566010377,791,2709,0.21872133169777527
-22,0.0005280862253641815,0.016921603865980284,0.2605236225749936,0.5584499429012951,778,2435,0.23099815526157458
-21,0.0005346088402270885,0.016784306057607706,0.25959146186956367,1.1080247461023385,822,2712,0.2791715183633082
-20,0.0003775294962613145,0.017134187469926992,0.30451039869470925,0.5802771946610885,847,3222,0.3043323431844495
-19,0.0005522116225546605,0.017190253541938615,0.3946020143190396,0.9042969937520138,869,3323,0.32110355810679597
-18,0.00023360502552021985,0.017366233051287268,0.3024342184639416,0.8294967625292542,849,3129,0.3247996136769331
-17,0.0002847020883534138,0.017434421685852998,0.3443796971867259,0.9316634422263275,830,2999,0.3012859893822231
-16,0.00012414097896440126,0.01748321933423925,0.2780717397202491,0.8380517369629485,824,2805,0.25725905585454056
-15,0.0002705344757241943,0.017670369856500306,0.18694227722115925,0.47304779141770065,817,2552,0.22053918841831982
-14,-0.000042335731414868064,0.017622532934779923,0.17446734668062674,0.5700921224419886,834,2779,0.16582493065219603
-13,0.0001295336710369488,0.017818292277301154,0.11883488128283817,0.17422810608035905,839,3248,0.11660186160052477
-12,-0.00011947488372093024,0.018066871716257968,0.07080840835610674,0.02728166302984511,860,3338,0.12207417152446524
-11,-0.00010868987611304686,0.01773371111245855,0.03195639446189289,0.09640432565133734,861,3173,0.11892359173043639
-10,0.00018616579984239554,0.01820453955112367,0.21430382684086158,0.49688993925980696,846,3053,0.12464004980737667
-9,0.00019086682769726252,0.018074852536671706,0.1587144477104825,0.48006476234465045,828,2825,0.15572232468396008
-8,0.0004796563394683028,0.017956518995100885,0.1474171716675395,0.4736385824168778,815,2553,0.1844813321840576
-7,0.0006336031287605296,0.018079187935849773,0.22621978273902388,0.6288803609876156,831,2766,0.16983252373715702
-6,0.0004971794705882354,0.01873664577161618,0.1757514319623805,0.3439346839340418,850,3270,0.1776792615643073
-5,0.0004785233601841198,0.01846192567427492,0.14105978460635868,0.3560443410568921,869,3353,0.19300829298997588
-4,0.0002130853348729792,0.018222328266741188,0.19794813684623389,0.5767906725616779,866,3182,0.18645014760013814
-3,0.0003227775457438345,0.01820514324182222,0.22406232879588237,0.536965044809044,838,3029,0.2573446230276226
-2,0.0003770758142340168,0.018255702539477833,0.19342905578983516,0.3016834743597079,829,2824,0.30272945665714845
-1,0.0012894568273092365,0.01821731179096935,0.530223809099803,1.1390407368189908,830,2594,0.4012943428268936
0,0.0011982727021696254,0.01847702066622158,0.3679839527539876,0.881721393690263,845,2813,0.5518469395711116
1,0.0019029725581395345,0.01928191457901311,0.6907725676949595,1.664341182126789,860,3323,0.6818020198303968
2,0.002729597266819572,0.019948323939885874,0.9768253125169732,2.235559220361783,872,3394,0.7286013900727646
3,0.0021952268939393936,0.01954782040310609,0.8432044570862601,2.268992125551758,880,3226,0.7669559813911181
4,0.0017540227093206953,0.020104830441553808,0.7642206603116425,1.852946827567357,844,3031,0.6625296874389843
5,0.0015526004987531177,0.02040314602249014,0.559756909345755,1.4846967924045162,802,2742,0.49549454015656014
6,0.00041797068511198953,0.0197657970621088,0.1686410979342906,0.5675423337225108,759,2379,0.33126849353448246
7,-0.00022784578592498946,0.01886598870070408,0.14164957610485268,0.2553547675808201,791,2621,0.19759910698845629
8,-0.0002785532599837001,0.01867120246050779,0.022074223975871526,0.07319732961144196,818,3139,0.10134874277444109
9,-0.0004166920838183936,0.01861555651634795,0.09587372758151162,0.10065468459649077,859,3288,0.08674466770613093
10,-0.00024261307992202747,0.018035955948903976,0.07850508827567891,0.09349314766194214,855,3124,0.06685671132318242
11,-0.00018368028309409892,0.01803778765936603,0.09562072259273986,0.3076679572229928,836,3002,0.09141043993803369
12,0.000058768931837074046,0.01788599044831827,0.04220979419011016,0.3088549703594341,802,2739,0.12550407857430831
13,-0.00011000384122919315,0.01750216989525083,0.14484286705012786,0.4865968091487217,781,2444,0.11983075646659433
14,0.000409180401804018,0.01765066472905623,0.2663419207628847,0.6409558883727215,813,2701,0.10851412155636997
15,-0.000016216686650679426,0.017833541543073383,0.05013847773710905,-0.08974913456216059,834,3199,0.11095215411182813
16,-0.00032885993441358056,0.01769370045587029,0.039037548041618034,0.039665174412701856,864,3312,0.10477908499236395
17,-0.0006816983877233877,0.017355211008852952,0.05439995696740093,0.03948847508047405,858,3148,0.07685450436992117
18,-0.0002418794199443783,0.01739910158606366,0.11397752145280694,0.19314365965600336,839,3033,0.07933637463883665
19,-0.00012086100123609385,0.017081232608043517,0.1267190176506708,0.37549633534276444,809,2771,0.08365819213803398
20,-0.00013789724310776924,0.017234284797313516,0.06254782908168646,0.3255834325943936,798,2503,0.06475464134629183
21,-0.000394302369380316,0.01755773973840754,0.06064663553760469,-0.14076923938680683,823,2736,0.06332519087136156
22,-0.0004884526128266034,0.017914828139067814,-0.04011779699130979,-0.30085433598653266,842,3231,0.028907039489368392
23,-0.0005364127269215913,0.017674659021404287,0.10683026907815557,0.21506785239910836,863,3315,0.02934589042251782
24,-0.0007116399535423926,0.017441624730558852,-0.04537173925929504,-0.45890931057908424,861,3158,0.03846876498924416
25,-0.00016817181490384628,0.016815358196249266,0.0647420837474336,0.03155990083522832,832,3009,0.06750075188946295
26,-0.0002207277505112474,0.016346215771249235,0.10626100837123642,0.30119193056254573,815,2782,0.09297994399880101
27,-3.4458806221102177e-6,0.016697199108392322,0.10504213750978407,0.33941709299674233,793,2490,0.12653894798553447
28,0.00021572391841779976,0.016753962798073004,0.2342262296248459,0.9471083012893894,809,2684,0.12100265766839864
29,0.00045602555154432414,0.01669130207279228,0.12242328067437226,0.2725969902448449,831,3188,0.1246880699926892
30,0.00028383041618047474,0.01660752363830536,0.03706063216175442,-0.12929935050328592,857,3298,0.13123671415365756
