days_to_event,mean_expected_return_biased,mean_three_phase_volatility,mean_rvr,median_rvr,event_count_rvr
-15,0.0020698941922232517,0.016683047368702426,17.64513573910658,4.030679472462654,895
-14,0.0020698941922232517,0.01819880543523906,9.103038297504686,3.4193262527732475,895
-13,0.0020698941922232517,0.0144826456454469,19.34644815400037,5.669831574438995,895
-12,0.0020698941922232517,0.011941052501067747,39.287581437284786,6.848628899587966,895
-11,0.0020698941922232517,0.013449303438925468,55.61803424171464,5.004350191126111,895
-10,0.0020698941922232517,0.014726469807316315,43.58751491216966,4.130725048620857,895
-9,0.0020698941922232517,0.017546375012032194,22.590625649885492,3.5629015026366493,895
-8,0.0020698941922232517,0.020835034929532495,17.42434706080284,2.457434969209069,895
-7,0.0020698941922232517,0.023787608400034573,10.451652151873708,2.0099725630316527,895
-6,0.0020698941922232517,0.01854822335592506,13.558361768933674,2.9815542581144885,895
-5,0.0020698941922232517,0.016199429171824917,23.70054635575793,3.40900593569209,895
-4,0.0020698941922232517,0.019167382427760424,30.822404161115706,2.6949661022655054,895
-3,0.0020698941922232517,0.020443433467655467,25.558418989214996,2.328897760790915,895
-2,0.0027877694180119036,0.02477319391487681,19.211749337503125,3.5459699950320926,895
-1,0.007010148851300801,0.028238474962289817,37.249965438664674,14.100912662114524,895
0,0.012018994181965033,0.026933061484346228,53.287791600139755,28.49474651606281,895
1,0.01208034843145463,0.021172128127680993,137.98369685855604,62.708577374470586,895
2,0.012215385593158561,0.025119657760460243,143.3739747318774,123.21947645007563,895
3,0.012851072464724491,0.025626720513794565,120.59772414808558,62.748214002077155,895
4,0.012070762922596557,0.0298557315901076,94.69095569282214,39.149558707954796,895
5,0.012747837432154055,0.03824711011173322,69.37490142113361,28.75002360117194,895
6,0.0068503278904827195,0.04632769171014165,22.368483849035805,7.2670916961655925,895
7,0.002851541414465176,0.04634294522464839,5.067643635583354,1.207206048030145,895
8,0.0020698941922232517,0.03381367106475581,6.58539054073534,0.9817635655506446,895
9,0.0020698941922232517,0.025267501070424057,14.126000336623514,1.4952585507569929,895
10,0.0020698941922232517,0.02702921622122626,22.326179401736137,1.355202458497866,895
11,0.0020698941922232517,0.026115345960580842,21.522476042018674,1.4169095107545064,895
12,0.0020698941922232517,0.02754729672050767,17.675030653213724,1.5650595955234852,895
13,0.0020698941922232517,0.03195215553066519,8.947726255792613,1.2452615497622752,895
14,0.0020698941922232517,0.03502721181997429,5.477506757664066,1.0033016846364071,895
15,0.0020698941922232517,0.022486352918101245,11.109982089619265,2.290441898572789,895
