days_to_event,avg_volatility,median_volatility,std_volatility,count
-30,0.015363344597878211,0.010054227394441787,0.015474615767397953,917
-29,0.0171381515764408,0.012392181344589769,0.015009919688937114,917
-28,0.01879724859485456,0.013741433632990867,0.014814386264216634,917
-27,0.013672217331650385,0.009109357147557604,0.013337170649905323,917
-26,0.011210387635310895,0.004714048375306227,0.012567043947584776,917
-25,0.012900126606944605,0.007366005539129844,0.012501569227076428,917
-24,0.013856678737755802,0.008856581716598694,0.013268635586605447,917
-23,0.015312323447198538,0.010009536284002866,0.015254122986399733,917
-22,0.017086207127078572,0.012079662235312448,0.015367904341003642,917
-21,0.018701880779636422,0.013699750755933984,0.015045068187895342,917
-20,0.014025792218581568,0.00915257029816427,0.014523120259749125,917
-19,0.011247403808162894,0.004715770082753244,0.012125082244087561,917
-18,0.013477836795055596,0.008067224995768972,0.013182835607710134,917
-17,0.014214864300636914,0.009185902898704423,0.014225301979483204,917
-16,0.015157367593275534,0.01038472154685635,0.014773073029933692,917
-15,0.018103481822210075,0.01238860513759833,0.022629230013558568,917
-14,0.019731330923500004,0.01395698121063059,0.021598167117718465,917
-13,0.01488973486737841,0.00959698841341964,0.020254580566601676,917
-12,0.012151451610807863,0.0048463561127780296,0.019872260193594,917
-11,0.014205949590030015,0.00833394506190923,0.01795727329538885,917
-10,0.015456539291064199,0.009620495547983663,0.015657601405235574,917
-9,0.01779532445050422,0.01141514015397917,0.022289042716785123,917
-8,0.021115284518047294,0.013906714455045283,0.025806565748010678,917
-7,0.024185778117521952,0.017201411891814244,0.026175276563148223,917
-6,0.018705060324071016,0.011345781144030051,0.02453977955038314,917
-5,0.01586783544806062,0.006143651682844824,0.022617028415307543,917
-4,0.018995552183924822,0.010768375768816821,0.023473254919037626,917
-3,0.02126411267193853,0.013345135054870371,0.023329772107608667,917
-2,0.02386190648781538,0.015410613965958355,0.02748874098525425,917
-1,0.027953552419516373,0.019054860958514393,0.030289181597300284,917
0,0.03152094048263722,0.022550004160735545,0.030059835808365947,917
1,0.020731633828352178,0.012134554637945086,0.026145479143636685,917
2,0.023562500278655293,0.007007818906185919,0.07578710040882441,917
3,0.02546692681175938,0.01216081775324202,0.039090265180649134,917
4,0.030499913229562085,0.016013259034032806,0.04513206096781062,917
5,0.03577567256105856,0.018355169475307326,0.08400906039056366,917
6,0.04413572651879961,0.02484172502521104,0.0899068971369894,917
7,0.04587365207044497,0.02792393902194627,0.08099576318381937,917
8,0.03162384882159767,0.015999755416135034,0.06849982208990961,917
9,0.02397994880262179,0.00787396420869084,0.05945302787656949,917
10,0.025902513872029187,0.013077645297480171,0.03714128807123079,917
11,0.025494572853037033,0.013559907729054535,0.03315591861545924,917
12,0.02703652314702611,0.015215850892429798,0.04970725426191092,917
13,0.031041973379894013,0.018789269958798063,0.04927585906275473,917
14,0.032044040677914255,0.02038463665373393,0.04508572037675622,917
15,0.022491254224892145,0.012508928270472158,0.03838106167056171,917
16,0.0174317946477735,0.006283214544869159,0.033966262463379006,917
17,0.019749933444560813,0.010699376919279727,0.02503543905260133,917
18,0.02015422235678722,0.011293995016236942,0.023716680491775156,917
19,0.020664034148763562,0.012324079044779843,0.02343483548321408,917
20,0.02404096514790981,0.015419185836546915,0.032124378512140644,917
21,0.025277896869262958,0.01749590767819752,0.029639599602654058,917
22,0.018036902551751045,0.010874002735230865,0.025741498281430852,917
23,0.014291037448900368,0.005493271639804186,0.02298021524047562,917
24,0.016140480676483118,0.009241738203934516,0.018402541573474627,917
25,0.01680775403057046,0.010226474267734258,0.017848296318645835,917
26,0.018096910602121808,0.010819007807951914,0.023131000133730446,917
27,0.01979510304751788,0.013674992793783564,0.02206759987374709,917
28,0.021521539941312944,0.015846024659188628,0.021033679954032363,917
29,0.01574976156356233,0.009981568011509533,0.018635842441173767,917
30,0.012579638546415526,0.005100997602314628,0.016625506059085166,917
