phase,start_day,end_day,avg_volatility,median_volatility,avg_event_count
pre_event,-30,-1,0.014581222527840202,0.009028273028960945,895.0
event_window,0,0,0.026535257211740142,0.01887862372147363,895.0
post_event_rising,1,5,0.028404714204995546,0.013486365156844492,895.0
post_event_decay,6,30,0.024623790368418382,0.013741540030684268,895.0
