phase,start_day,end_day,avg_volatility,median_volatility,avg_event_count
pre_event,-30,-1,0.016881490862561736,0.010695467693610147,917.0
event_day,0,0,0.03152094048263722,0.022550004160735545,917.0
post_event_rising,1,5,0.027207329341877494,0.01313432396134263,917.0
post_event_decay,6,30,0.023598481175678008,0.013397978369412563,917.0
