phase,start_day,end_day,avg_rvr,median_rvr,avg_volatility,avg_expected_return,avg_event_count
pre_event,-30,-1,3.030808913184857,1.3830336515848738,0.02687101754721579,0.0010490663472414055,618.8333333333334
event_day,0,0,1.5052720250727323,0.6845676181936042,0.03690417951733014,0.001041812749981879,881.0
post_event_rising,1,5,19.3497521575021,12.669582272010004,0.03926619382627868,0.011034475509653701,525.8
post_event_decay,6,30,1.538854126150694,0.8896740265321407,0.03325678055355454,0.001024789054627475,614.24
