characteristic,value,phase,avg_rvr,median_rvr,std_rvr,n_events
industry,,pre_event,,,,0
industry,,post_event_rising,,,,0
industry,,post_event_decay,,,,0
industry,Agriculture,pre_event,-7.50795442525417,-4.028147525050883,6.535617056990508,2
industry,Agriculture,post_event_rising,3.7849921240732045,3.509588237162347,4.120068291561233,2
industry,Agriculture,post_event_decay,-1.9495950390340546,-1.4811614338376384,2.024705954508113,2
industry,Construction,pre_event,0.2934766490131907,-0.18154589261450535,1.467598872699967,1
industry,Construction,post_event_rising,11.761446587062855,14.537309803567487,6.173372343485408,1
industry,Construction,post_event_decay,0.18187769589456917,-0.12641389270074194,0.7093301465105508,1
industry,Finance,pre_event,13.103749625753856,7.750273563563941,29.500728769326706,13
industry,Finance,post_event_rising,67.68377038120367,28.145705300241396,112.66035307434663,13
industry,Finance,post_event_decay,4.497607059478142,2.5683607415047423,16.021396689656566,13
industry,Manufacturing,pre_event,7.4304544208128025,4.573929830270584,29.366398781276413,833
industry,Manufacturing,post_event_rising,44.21345281662991,27.454732928380796,51.790678918488496,833
industry,Manufacturing,post_event_decay,4.787667664073428,2.43775936756991,13.257846715743536,831
industry,Mining,pre_event,4.693251180786951,-1.1783549388947325,19.092530667763125,7
industry,Mining,post_event_rising,2.2281519035713435,1.716195084789229,3.619816811456404,7
industry,Mining,post_event_decay,-1.2165821522373685,-0.5127428642137417,2.2941980518405205,7
industry,Public Admin,pre_event,3.1613611970320648,1.3623922764117202,18.23113216528322,134
industry,Public Admin,post_event_rising,9.902488865267747,3.7698311788510157,44.048903032296984,134
industry,Public Admin,post_event_decay,0.9091865571678469,0.4430176950601712,5.965986548103885,133
industry,Retail,pre_event,-1.0276450199008498,-3.5531692208436305,5.037540616012976,3
industry,Retail,post_event_rising,6.315237484454528,7.010308299158302,4.279836466726701,3
industry,Retail,post_event_decay,-2.09429535223265,-2.2945469868365604,2.9643978173295045,3
industry,Services,pre_event,1.2246533377105555,0.0546525983931783,21.89061514930299,46
industry,Services,post_event_rising,29.000339799322514,10.659234291063061,86.53096280206145,46
industry,Services,post_event_decay,1.5054394983716228,0.04958767995993192,11.568645676889023,46
industry,Transportation,pre_event,10.398042346754849,12.543225473750626,15.206287482015885,8
industry,Transportation,post_event_rising,52.372941525687246,41.18683254717121,42.16059366645372,8
industry,Transportation,post_event_decay,6.52031434404762,3.798261452629829,11.644419959010566,8
industry,Wholesale,pre_event,6.349877603528904,2.264182407800958,16.992004402133,7
industry,Wholesale,post_event_rising,32.984489359139644,23.627629603872382,37.797503411475965,7
industry,Wholesale,post_event_decay,3.5504235506427655,1.649152659661533,7.225256651920587,7
